latitude,longitude,cloud_cover
64.25,-78.75,1.0
64.25,-78.25,0.886
64.25,-77.75,1.0
64.25,-77.25,0.961
64.25,-76.75,1.0
64.25,-76.25,1.0
64.25,-75.75,0.933
64.25,-75.25,0.803
64.25,-74.75,0.961
64.25,-74.25,0.457
64.25,-73.75,0.665
64.25,-73.25,0.862
64.25,-72.75,0.713
63.75,-79.25,0.701
63.75,-78.75,0.799
63.75,-78.25,0.882
63.75,-77.75,0.996
63.75,-77.25,0.76
63.75,-76.75,0.555
63.75,-76.25,0.772
63.75,-75.75,0.921
63.75,-75.25,0.736
63.75,-74.75,0.559
63.75,-74.25,0.63
63.75,-73.75,0.484
63.75,-73.25,0.335
63.75,-72.75,0.85
63.75,-72.25,1.0
63.75,-71.75,0.976
63.25,-79.75,0.74
63.25,-79.25,0.803
63.25,-78.75,0.728
63.25,-78.25,0.949
63.25,-77.75,0.972
63.25,-77.25,0.811
63.25,-76.75,0.945
63.25,-76.25,0.717
63.25,-75.75,0.756
63.25,-75.25,0.984
63.25,-74.75,0.921
63.25,-74.25,0.756
63.25,-73.75,0.78
63.25,-73.25,0.815
63.25,-72.75,0.933
63.25,-72.25,0.748
63.25,-71.75,0.906
63.25,-71.25,0.906
63.25,-70.75,0.961
62.75,-79.75,0.945
62.75,-79.25,0.937
62.75,-78.75,0.878
62.75,-78.25,0.35
62.75,-77.75,0.551
62.75,-77.25,0.98
62.75,-76.75,1.0
62.75,-76.25,0.902
62.75,-75.75,0.941
62.75,-75.25,1.0
62.75,-74.75,1.0
62.75,-74.25,0.969
62.75,-73.75,0.78
62.75,-73.25,0.839
62.75,-72.75,0.866
62.75,-72.25,0.752
62.75,-71.75,0.669
62.75,-71.25,0.72
62.75,-70.75,0.992
62.75,-70.25,0.965
62.75,-69.75,0.85
62.75,-69.25,0.949
62.75,-68.75,1.0
62.25,-79.75,1.0
62.25,-79.25,0.921
62.25,-78.75,1.0
62.25,-78.25,0.929
62.25,-77.75,0.858
62.25,-77.25,1.0
62.25,-76.75,1.0
62.25,-76.25,0.996
62.25,-75.75,1.0
