latitude,longitude,cloud_cover
64.25,-78.75,0.705
64.25,-78.25,1.0
64.25,-77.75,1.0
64.25,-77.25,0.996
64.25,-76.75,0.555
64.25,-76.25,0.953
64.25,-75.75,0.791
64.25,-75.25,0.988
64.25,-74.75,1.0
64.25,-74.25,1.0
64.25,-73.75,1.0
64.25,-73.25,1.0
64.25,-72.75,1.0
63.75,-79.25,0.933
63.75,-78.75,0.972
63.75,-78.25,1.0
63.75,-77.75,1.0
63.75,-77.25,1.0
63.75,-76.75,1.0
63.75,-76.25,1.0
63.75,-75.75,1.0
63.75,-75.25,1.0
63.75,-74.75,1.0
63.75,-74.25,1.0
63.75,-73.75,1.0
63.75,-73.25,1.0
63.75,-72.75,1.0
63.75,-72.25,1.0
63.75,-71.75,1.0
63.25,-79.75,0.386
63.25,-79.25,0.996
63.25,-78.75,1.0
63.25,-78.25,1.0
63.25,-77.75,1.0
63.25,-77.25,0.937
63.25,-76.75,0.988
63.25,-76.25,1.0
63.25,-75.75,0.917
63.25,-75.25,1.0
63.25,-74.75,1.0
63.25,-74.25,1.0
63.25,-73.75,1.0
63.25,-73.25,1.0
63.25,-72.75,1.0
63.25,-72.25,1.0
63.25,-71.75,1.0
63.25,-71.25,1.0
63.25,-70.75,1.0
62.75,-79.75,0.024
62.75,-79.25,0.268
62.75,-78.75,0.169
62.75,-78.25,0.941
62.75,-77.75,0.791
62.75,-77.25,0.831
62.75,-76.75,0.874
62.75,-76.25,0.858
62.75,-75.75,1.0
62.75,-75.25,1.0
62.75,-74.75,1.0
62.75,-74.25,0.811
62.75,-73.75,1.0
62.75,-73.25,1.0
62.75,-72.75,1.0
62.75,-72.25,1.0
62.75,-71.75,1.0
62.75,-71.25,1.0
62.75,-70.75,0.961
62.75,-70.25,1.0
62.75,-69.75,1.0
62.75,-69.25,1.0
62.75,-68.75,1.0
62.25,-79.75,0.906
62.25,-79.25,0.441
62.25,-78.75,0.268
62.25,-78.25,0.24
62.25,-77.75,1.0
62.25,-77.25,1.0
62.25,-76.75,0.957
62.25,-76.25,0.776
62.25,-75.75,1.0
62.25,-75.25,0.98
62.25,-74.75,1.0
62.25,-74.25,1.0
62.25,-73.75,1.0
62.25,-73.25,1.0
62.25,-72.75,1.0
62.25,-72.25,1.0
62.25,-71.75,0.937
62.25,-71.25,0.776
62.25,-70.75,0.972
62.25,-70.25,0.823
62.25,-69.75,0.839
62.25,-69.25,0.965
62.25,-68.75,0.988
62.25,-68.25,1.0
62.25,-67.75,1.0
62.25,-67.25,1.0
62.25,-65.75,0.894
62.25,-65.25,0.693
62.25,-64.75,0.925
62.25,-64.25,0.795
62.25,-63.75,0.799
61.75,-79.75,0.957
61.75,-79.25,0.457
61.75,-78.75,0.5
61.75,-78.25,0.555
61.75,-77.75,1.0
61.75,-77.25,1.0
61.75,-76.75,0.953
61.75,-76.25,1.0
61.75,-75.75,0.764
61.75,-75.25,0.78
61.75,-74.75,0.976
61.75,-74.25,0.957
61.75,-73.75,1.0
61.75,-73.25,1.0
61.75,-72.75,0.965
61.75,-72.25,0.988
61.75,-71.75,1.0
61.75,-71.25,0.909
61.75,-70.75,0.957
61.75,-70.25,0.76
61.75,-69.75,0.827
61.75,-69.25,0.839
61.75,-68.75,0.937
61.75,-68.25,0.921
61.75,-67.75,0.906
61.75,-67.25,0.921
61.75,-66.75,0.878
61.75,-66.25,0.886
61.75,-65.75,0.894
61.75,-65.25,0.929
61.75,-64.75,0.752
61.75,-64.25,0.933
61.75,-63.75,0.98
61.75,-63.25,0.945
61.25,-79.75,0.472
61.25,-79.25,1.0
61.25,-78.75,0.843
61.25,-78.25,1.0
61.25,-77.75,1.0
61.25,-77.25,1.0
61.25,-76.75,1.0
61.25,-76.25,1.0
61.25,-75.75,0.988
61.25,-75.25,0.976
61.25,-74.75,1.0
61.25,-74.25,1.0
61.25,-73.75,1.0
61.25,-73.25,1.0
61.25,-72.75,0.984
61.25,-72.25,0.996
61.25,-71.75,1.0
61.25,-71.25,0.996
61.25,-70.75,0.949
61.25,-70.25,0.965
61.25,-69.75,0.906
61.25,-69.25,0.941
61.25,-68.75,0.85
61.25,-68.25,0.839
61.25,-67.75,0.953
61.25,-67.25,0.894
61.25,-66.75,0.953
61.25,-66.25,0.795
61.25,-65.75,0.886
