51.75,-129.75,0.7165,0.8465,1,0.173,1
51.75,-129.25,0.7215,0.6675,0.4,0.551,1
51.75,-128.75,0.615,0.5845,0.2,0.291,1
51.75,-128.25,0.80525,0.8465,0.8,0.528,1
51.75,-127.75,0.85825,1,1,0.433,1
51.75,-127.25,0.7765,1,1,0.106,1
51.75,-126.75,0.7745,1,1,0.098,1
51.75,-126.25,0.79125,1,1,0.165,1
51.75,-125.75,0.752,1,1,0.008,1
51.75,-125.25,0.7785000000000001,0.9605,1,0.193,1
51.75,-124.75,0.86425,0.884,0.6000000000000001,0.689,1
51.75,-124.25,0.757,1,1,0.028,1
51.75,-123.75,0.75,1,1,0,1
51.75,-123.25,0.76775,1,1,0.071,1
51.75,-122.75,0.7895,0.9095,1,0.339,1
51.75,-122.25,0.79725,0.8049999999999999,0.4,0.579,1
51.75,-121.75,0.5875,0.671,0,0.008,1
51.75,-121.25,0.75575,0.933,1,0.157,1
51.75,-120.75,0.7490000000000001,0.866,0.2,0.264,1
51.75,-120.25,0.751,1,1,0.004,1
51.75,-119.75,0.75975,1,1,0.039,1
51.75,-119.25,0.7795,1,1,0.118,1
51.75,-118.75,0.6819999999999999,0.86,1,0.008,1
51.75,-118.25,0.51875,0.5295,0,0.016,1
51.75,-117.75,0.7215,0.89,1,0.106,1
51.75,-117.25,0.812,0.9545,1,0.339,1
51.75,-116.75,0.8069999999999999,1,1,0.228,1
51.75,-116.25,0.7304999999999999,0.8565,0.2,0.209,1
51.75,-115.75,0.80125,0.8565,0.8,0.492,1
51.75,-115.25,0.66425,0.748,1,0.161,1
51.75,-114.75,0.7095,0.919,0.8,0,1
51.75,-114.25,0.687,0.874,1,0,1
51.75,-113.75,0.66725,0.8345,1,0,1
51.75,-113.25,0.7322500000000001,0.8405,1,0.248,1
51.75,-112.75,0.9155,0.9764999999999999,1,0.709,1
51.75,-112.25,0.626,0.634,0.2,0.236,1
51.75,-111.75,0.94375,0.986,0.8,0.803,1
51.75,-111.25,0.7235,0.8485,1,0.197,1
51.75,-110.75,0.439,0.49,0.4,0.02,0.756
51.75,-110.25,0.48625000000000007,0.43700000000000006,0,0.071,1
51.75,-109.75,0.813,0.825,0.6000000000000001,0.602,1
51.75,-109.25,0.67925,0.8585,1,0,1
51.75,-108.75,0.54625,0.5865,0,0.028,0.984
51.75,-108.25,0.48725,0.47850000000000004,0,0,0.992
51.75,-107.75,0.54725,0.5845,0,0.02,1
51.75,-107.25,0.7332500000000001,0.7795,0.2,0.374,1
51.75,-106.75,0.705,0.6775,0.6000000000000001,0.465,1
51.75,-106.25,0.6970000000000001,0.766,0.2,0.256,1
51.75,-105.75,0.68225,0.6970000000000001,0.2,0.335,1
51.75,-105.25,0.744,0.988,1,0,1
51.75,-104.75,0.69675,0.8935,1,0,1
51.75,-104.25,0.7235,0.8485,1,0.197,1
51.75,-103.75,0.73525,0.9704999999999999,1,0,1
51.75,-103.25,0.64575,0.7835,1,0.016,1
51.75,-102.75,0.4585,0.41700000000000004,0,0,1
51.75,-102.25,0.57975,0.6495,1,0.02,1
51.75,-101.75,0.86125,0.9135,0.8,0.618,1
51.75,-101.25,0.75975,0.998,1,0.043,1
51.75,-100.75,0.6910000000000001,0.882,1,0,1
51.75,-100.25,0.57275,0.6455,1,0,1
51.75,-99.75,0.5727500000000001,0.5985,0,0.094,1
51.75,-99.25,0.7835,0.825,1,0.484,1
51.75,-98.75,0.83475,1,1,0.339,1
51.75,-98.25,0.76275,0.992,1,0.067,1
51.75,-97.75,0.66825,0.8365,1,0,1
51.75,-97.25,0.5482499999999999,0.45099999999999996,0.2,0.291,1
51.75,-96.75,0.41325,0.242,0,0.169,1
51.75,-96.25,0.5117499999999999,0.5235,0,0,1
51.75,-95.75,0.5335,0.565,0,0.004,1
51.75,-95.25,0.5285,0.5415,0,0.031,1
51.75,-94.75,0.32075,0.1415,0,0,1
51.75,-94.25,0.5017499999999999,0.4545,0,0.098,1
51.75,-93.75,0.5475,0.581,0.4,0.028,1
51.75,-93.25,0.48050000000000004,0.453,0,0.016,1
51.75,-92.75,0.42800000000000005,0.3345,0,0.043,1
51.75,-92.25,0.312,0.124,0,0,1
51.75,-91.75,0.53625,0.543,0,0.059,1
51.75,-91.25,0.5482499999999999,0.569,0,0.055,1
51.75,-90.75,0.5117499999999999,0.5235,0,0,1
51.75,-90.25,0.66225,0.8029999999999999,0,0.043,1
51.75,-89.75,0.375,0.2145,0,0.071,1
51.75,-89.25,0.5402499999999999,0.563,0.4,0.035,1
51.75,-88.75,0.5627500000000001,0.5765,0,0.098,1
51.75,-88.25,0.497,0.5,0,0.004,0.984
51.75,-87.75,0.6515,0.7855,0,0.035,1
51.75,-87.25,0.52275,0.5395,0,0.012,1
51.75,-86.75,0.58675,0.6735,0,0,1
51.75,-86.25,0.63575,0.74,0.6000000000000001,0.063,1
51.75,-85.75,0.35524999999999995,0.2735,0.2,0.035,0.839
51.75,-85.25,0.4125,0.33499999999999996,0,0.004,0.976
51.75,-84.75,0.362,0.356,0,0.004,0.732
51.75,-84.25,0.75275,0.925,0.8,0.161,1
51.75,-83.75,0.66725,0.7735000000000001,1,0.122,1
