latitude,longitude,cloud_cover
64.25,-78.75,0.535
64.25,-78.25,0.602
64.25,-77.75,0.508
64.25,-77.25,0.508
64.25,-76.75,0.575
64.25,-76.25,0.622
64.25,-75.75,0.626
64.25,-75.25,0.563
64.25,-74.75,0.559
64.25,-74.25,0.591
64.25,-73.75,0.555
64.25,-73.25,0.610
64.25,-72.75,0.665
63.75,-79.25,0.311
63.75,-78.75,0.354
63.75,-78.25,0.516
63.75,-77.75,0.457
63.75,-77.25,0.543
63.75,-76.75,0.563
63.75,-76.25,0.657
63.75,-75.75,0.748
63.75,-75.25,0.795
63.75,-74.75,0.913
63.75,-74.25,0.894
63.75,-73.75,0.776
63.75,-73.25,0.587
63.75,-72.75,0.535
63.75,-72.25,0.657
63.75,-71.75,0.638
63.25,-79.75,0.315
63.25,-79.25,0.165
63.25,-78.75,0.358
63.25,-78.25,0.551
63.25,-77.75,0.634
63.25,-77.25,0.630
63.25,-76.75,0.638
63.25,-76.25,0.717
63.25,-75.75,0.752
63.25,-75.25,0.701
63.25,-74.75,0.693
63.25,-74.25,0.724
63.25,-73.75,0.787
63.25,-73.25,0.803
63.25,-72.75,0.760
63.25,-72.25,0.795
63.25,-71.75,0.665
63.25,-71.25,0.587
63.25,-70.75,0.535
62.75,-79.75,0.339
62.75,-79.25,0.406
62.75,-78.75,0.445
62.75,-78.25,0.461
62.75,-77.75,0.335
62.75,-77.25,0.583
62.75,-76.75,0.634
62.75,-76.25,0.748
62.75,-75.75,0.791
62.75,-75.25,0.736
62.75,-74.75,0.614
62.75,-74.25,0.669
62.75,-73.75,0.724
62.75,-73.25,0.713
62.75,-72.75,0.673
62.75,-72.25,0.665
62.75,-71.75,0.543
62.75,-71.25,0.496
62.75,-70.75,0.642
62.75,-70.25,0.693
62.75,-69.75,0.614
62.75,-69.25,0.622
62.75,-68.75,0.646
62.25,-79.75,0.425
62.25,-79.25,0.516
62.25,-78.75,0.516
62.25,-78.25,0.504
62.25,-77.75,0.701
62.25,-77.25,0.756
62.25,-76.75,0.709
62.25,-76.25,0.748
62.25,-75.75,0.748
62.25,-75.25,0.756
62.25,-74.75,0.650
62.25,-74.25,0.685
62.25,-73.75,0.673
62.25,-73.25,0.705
62.25,-72.75,0.713
62.25,-72.25,0.642
62.25,-71.75,0.512
62.25,-71.25,0.354
62.25,-70.75,0.417
62.25,-70.25,0.614
62.25,-69.75,0.823
62.25,-69.25,0.795
62.25,-68.75,0.717
62.25,-68.25,0.594
62.25,-67.75,0.547
62.25,-67.25,0.638
62.25,-65.75,0.760
62.25,-65.25,0.571
62.25,-64.75,0.701
62.25,-64.25,0.780
62.25,-63.75,0.638
61.75,-79.75,0.382
61.75,-79.25,0.571
61.75,-78.75,0.673
61.75,-78.25,0.575
61.75,-77.75,0.417
61.75,-77.25,0.484
61.75,-76.75,0.673
61.75,-76.25,0.744
61.75,-75.75,0.803
61.75,-75.25,0.614
61.75,-74.75,0.768
61.75,-74.25,0.803
61.75,-73.75,0.772
61.75,-73.25,0.862
61.75,-72.75,0.768
61.75,-72.25,0.622
61.75,-71.75,0.602
61.75,-71.25,0.516
61.75,-70.75,0.453
61.75,-70.25,0.343
