latitude,longitude,cloud_cover
64.25,-78.75,0.823
64.25,-78.25,0.898
64.25,-77.75,0.961
64.25,-77.25,0.854
64.25,-76.75,0.795
64.25,-76.25,0.724
64.25,-75.75,0.618
64.25,-75.25,0.610
64.25,-74.75,0.646
64.25,-74.25,0.764
64.25,-73.75,0.744
64.25,-73.25,0.795
64.25,-72.75,0.783
63.75,-79.25,0.740
63.75,-78.75,0.732
63.75,-78.25,0.795
63.75,-77.75,0.933
63.75,-77.25,0.909
63.75,-76.75,0.827
63.75,-76.25,0.791
63.75,-75.75,0.854
63.75,-75.25,0.772
63.75,-74.75,0.654
63.75,-74.25,0.787
63.75,-73.75,0.827
63.75,-73.25,0.846
63.75,-72.75,0.827
63.75,-72.25,0.677
63.75,-71.75,0.559
63.25,-79.75,0.768
63.25,-79.25,0.717
63.25,-78.75,0.776
63.25,-78.25,0.886
63.25,-77.75,0.854
63.25,-77.25,0.807
63.25,-76.75,0.827
63.25,-76.25,0.839
63.25,-75.75,0.850
63.25,-75.25,0.823
63.25,-74.75,0.850
63.25,-74.25,0.728
63.25,-73.75,0.780
63.25,-73.25,0.827
63.25,-72.75,0.795
63.25,-72.25,0.858
63.25,-71.75,0.642
63.25,-71.25,0.618
63.25,-70.75,0.563
62.75,-79.75,0.693
62.75,-79.25,0.720
62.75,-78.75,0.807
62.75,-78.25,0.839
62.75,-77.75,0.878
62.75,-77.25,0.937
62.75,-76.75,0.945
62.75,-76.25,0.882
62.75,-75.75,0.882
62.75,-75.25,0.854
62.75,-74.75,0.937
62.75,-74.25,0.921
62.75,-73.75,0.894
62.75,-73.25,0.866
62.75,-72.75,0.831
62.75,-72.25,0.693
62.75,-71.75,0.764
62.75,-71.25,0.736
62.75,-70.75,0.618
62.75,-70.25,0.673
62.75,-69.75,0.673
62.75,-69.25,0.665
62.75,-68.75,0.657
62.25,-79.75,0.862
62.25,-79.25,0.823
62.25,-78.75,0.811
62.25,-78.25,0.866
62.25,-77.75,0.933
62.25,-77.25,0.921
62.25,-76.75,0.972
62.25,-76.25,0.953
62.25,-75.75,0.941
62.25,-75.25,0.949
62.25,-74.75,0.913
62.25,-74.25,0.917
62.25,-73.75,0.917
62.25,-73.25,0.925
62.25,-72.75,0.882
62.25,-72.25,0.913
62.25,-71.75,0.831
62.25,-71.25,0.839
62.25,-70.75,0.894
62.25,-70.25,0.835
62.25,-69.75,0.843
62.25,-69.25,0.874
62.25,-68.75,0.799
62.25,-68.25,0.575
62.25,-67.75,0.559
62.25,-67.25,0.543
62.25,-65.75,0.713
62.25,-65.25,0.642
62.25,-64.75,0.575
62.25,-64.25,0.567
62.25,-63.75,0.480
61.75,-79.75,0.831
61.75,-79.25,0.783
61.75,-78.75,0.823
61.75,-78.25,0.882
61.75,-77.75,0.850
61.75,-77.25,0.882
61.75,-76.75,0.949
61.75,-76.25,0.949
61.75,-75.75,0.937
61.75,-75.25,1.000
61.75,-74.75,1.000
61.75,-74.25,0.984
61.75,-73.75,0.831
61.75,-73.25,0.854
61.75,-72.75,0.748
61.75,-72.25,0.803
61.75,-71.75,0.909
61.75,-71.25,0.917
61.75,-70.75,0.909
61.75,-70.25,0.882
61.75,-69.75,0.870
61.75,-69.25,0.803
61.75,-68.75,0.787
61.75,-68.25,0.921
