latitude,longitude,cloud_cover
64.25,-78.75,0.500
64.25,-78.25,0.685
64.25,-77.75,0.689
64.25,-77.25,0.591
64.25,-76.75,0.594
64.25,-76.25,0.583
64.25,-75.75,0.579
64.25,-75.25,0.535
64.25,-74.75,0.598
64.25,-74.25,0.567
64.25,-73.75,0.559
64.25,-73.25,0.614
64.25,-72.75,0.768
63.75,-79.25,0.291
63.75,-78.75,0.276
63.75,-78.25,0.370
63.75,-77.75,0.504
63.75,-77.25,0.500
63.75,-76.75,0.472
63.75,-76.25,0.602
63.75,-75.75,0.630
63.75,-75.25,0.646
63.75,-74.75,0.677
63.75,-74.25,0.575
63.75,-73.75,0.626
63.75,-73.25,0.677
63.75,-72.75,0.579
63.75,-72.25,0.606
63.75,-71.75,0.638
63.25,-79.75,0.417
63.25,-79.25,0.413
63.25,-78.75,0.319
63.25,-78.25,0.461
63.25,-77.75,0.413
63.25,-77.25,0.531
63.25,-76.75,0.579
63.25,-76.25,0.500
63.25,-75.75,0.567
63.25,-75.25,0.563
63.25,-74.75,0.622
63.25,-74.25,0.551
63.25,-73.75,0.567
63.25,-73.25,0.559
63.25,-72.75,0.740
63.25,-72.25,0.917
63.25,-71.75,0.748
63.25,-71.25,0.787
63.25,-70.75,0.614
62.75,-79.75,0.382
62.75,-79.25,0.378
62.75,-78.75,0.409
62.75,-78.25,0.406
62.75,-77.75,0.461
62.75,-77.25,0.413
62.75,-76.75,0.437
62.75,-76.25,0.457
62.75,-75.75,0.559
62.75,-75.25,0.579
62.75,-74.75,0.720
62.75,-74.25,0.681
62.75,-73.75,0.654
62.75,-73.25,0.638
62.75,-72.75,0.665
62.75,-72.25,0.685
62.75,-71.75,0.693
62.75,-71.25,0.870
62.75,-70.75,0.547
62.75,-70.25,0.571
62.75,-69.75,0.594
62.75,-69.25,0.642
62.75,-68.75,0.673
62.25,-79.75,0.500
62.25,-79.25,0.476
62.25,-78.75,0.425
62.25,-78.25,0.390
62.25,-77.75,0.591
62.25,-77.25,0.539
62.25,-76.75,0.606
62.25,-76.25,0.563
62.25,-75.75,0.591
62.25,-75.25,0.748
62.25,-74.75,0.768
62.25,-74.25,0.740
62.25,-73.75,0.850
62.25,-73.25,0.709
62.25,-72.75,0.689
62.25,-72.25,0.740
62.25,-71.75,0.677
62.25,-71.25,0.823
62.25,-70.75,0.850
62.25,-70.25,0.787
62.25,-69.75,0.839
62.25,-69.25,0.787
62.25,-68.75,0.677
62.25,-68.25,0.638
62.25,-67.75,0.602
62.25,-67.25,0.689
62.25,-65.75,0.823
62.25,-65.25,0.614
62.25,-64.75,0.642
62.25,-64.25,0.665
62.25,-63.75,0.583
61.75,-79.75,0.378
61.75,-79.25,0.362
61.75,-78.75,0.386
61.75,-78.25,0.472
61.75,-77.75,0.531
61.75,-77.25,0.520
61.75,-76.75,0.610
61.75,-76.25,0.669
61.75,-75.75,0.677
61.75,-75.25,0.551
61.75,-74.75,0.661
61.75,-74.25,0.717
61.75,-73.75,0.768
61.75,-73.25,0.732
61.75,-72.75,0.598
61.75,-72.25,0.736
61.75,-71.75,0.752
61.75,-71.25,0.756
61.75,-70.75,0.760
61.75,-70.25,0.756
61.75,-69.75,0.701
61.75,-69.25,0.799
61.75,-68.75,0.768
61.75,-68.25,0.677
61.75,-67.75,0.661
61.75,-67.25,0.626
61.75,-66.75,0.732
61.75,-66.25,0.724
61.75,-65.75,0.744
61.75,-65.25,0.850
61.75,-64.75,0.626
61.75,-64.25,0.713
61.75,-63.75,0.646
61.75,-63.25,0.720
61.25,-79.75,0.480
61.25,-79.25,0.472
61.25,-78.75,0.472
61.25,-78.25,0.437
61.25,-77.75,0.378
