latitude,longitude,cloud_cover
64.25,-78.75,0.531
64.25,-78.25,0.386
64.25,-77.75,0.323
64.25,-77.25,0.362
64.25,-76.75,0.362
64.25,-76.25,0.366
64.25,-75.75,0.429
64.25,-75.25,0.402
64.25,-74.75,0.441
64.25,-74.25,0.512
64.25,-73.75,0.449
64.25,-73.25,0.409
64.25,-72.75,0.488
63.75,-79.25,0.354
63.75,-78.75,0.350
63.75,-78.25,0.413
63.75,-77.75,0.394
63.75,-77.25,0.366
63.75,-76.75,0.437
63.75,-76.25,0.417
63.75,-75.75,0.492
63.75,-75.25,0.449
63.75,-74.75,0.500
63.75,-74.25,0.461
63.75,-73.75,0.433
63.75,-73.25,0.563
63.75,-72.75,0.457
63.75,-72.25,0.441
63.75,-71.75,0.409
63.25,-79.75,0.287
63.25,-79.25,0.362
63.25,-78.75,0.398
63.25,-78.25,0.528
63.25,-77.75,0.591
63.25,-77.25,0.370
63.25,-76.75,0.563
63.25,-76.25,0.606
63.25,-75.75,0.594
63.25,-75.25,0.650
63.25,-74.75,0.433
63.25,-74.25,0.409
63.25,-73.75,0.421
63.25,-73.25,0.480
63.25,-72.75,0.622
63.25,-72.25,0.780
63.25,-71.75,0.339
63.25,-71.25,0.409
63.25,-70.75,0.386
62.75,-79.75,0.331
62.75,-79.25,0.315
62.75,-78.75,0.370
62.75,-78.25,0.488
62.75,-77.75,0.543
62.75,-77.25,0.563
62.75,-76.75,0.583
62.75,-76.25,0.657
62.75,-75.75,0.654
62.75,-75.25,0.697
62.75,-74.75,0.685
62.75,-74.25,0.618
62.75,-73.75,0.606
62.75,-73.25,0.618
62.75,-72.75,0.484
62.75,-72.25,0.457
62.75,-71.75,0.697
62.75,-71.25,0.752
62.75,-70.75,0.386
62.75,-70.25,0.394
62.75,-69.75,0.386
62.75,-69.25,0.516
62.75,-68.75,0.508
62.25,-79.75,0.484
62.25,-79.25,0.433
62.25,-78.75,0.496
62.25,-78.25,0.583
62.25,-77.75,0.543
62.25,-77.25,0.535
62.25,-76.75,0.713
62.25,-76.25,0.752
62.25,-75.75,0.795
62.25,-75.25,0.787
62.25,-74.75,0.870
62.25,-74.25,0.870
62.25,-73.75,0.831
62.25,-73.25,0.728
