latitude,longitude,cloud_cover
64.25,-78.75,0.614
64.25,-78.25,0.744
64.25,-77.75,0.736
64.25,-77.25,0.728
64.25,-76.75,0.902
64.25,-76.25,0.870
64.25,-75.75,0.705
64.25,-75.25,0.783
64.25,-74.75,0.854
64.25,-74.25,0.732
64.25,-73.75,0.709
64.25,-73.25,0.736
64.25,-72.75,0.728
63.75,-79.25,0.650
63.75,-78.75,0.685
63.75,-78.25,0.681
63.75,-77.75,0.654
63.75,-77.25,0.736
63.75,-76.75,0.752
63.75,-76.25,0.681
63.75,-75.75,0.713
63.75,-75.25,0.752
63.75,-74.75,0.728
63.75,-74.25,0.736
63.75,-73.75,0.626
63.75,-73.25,0.787
63.75,-72.75,0.898
63.75,-72.25,0.756
63.75,-71.75,0.795
63.25,-79.75,0.669
63.25,-79.25,0.697
63.25,-78.75,0.728
63.25,-78.25,0.724
63.25,-77.75,0.772
63.25,-77.25,0.669
63.25,-76.75,0.661
63.25,-76.25,0.740
63.25,-75.75,0.713
63.25,-75.25,0.736
63.25,-74.75,0.748
63.25,-74.25,0.689
63.25,-73.75,0.839
63.25,-73.25,0.673
63.25,-72.75,0.717
63.25,-72.25,0.854
63.25,-71.75,0.835
63.25,-71.25,0.909
63.25,-70.75,0.913
62.75,-79.75,0.567
62.75,-79.25,0.610
62.75,-78.75,0.579
62.75,-78.25,0.772
62.75,-77.75,0.768
62.75,-77.25,0.709
62.75,-76.75,0.720
62.75,-76.25,0.760
62.75,-75.75,0.780
62.75,-75.25,0.713
62.75,-74.75,0.677
62.75,-74.25,0.764
62.75,-73.75,0.862
62.75,-73.25,0.925
62.75,-72.75,0.787
62.75,-72.25,0.752
62.75,-71.75,0.839
62.75,-71.25,0.858
62.75,-70.75,0.823
62.75,-70.25,0.772
62.75,-69.75,0.744
62.75,-69.25,0.736
62.75,-68.75,0.768
62.25,-79.75,0.756
62.25,-79.25,0.614
62.25,-78.75,0.610
62.25,-78.25,0.724
62.25,-77.75,0.740
62.25,-77.25,0.815
62.25,-76.75,0.874
62.25,-76.25,0.909
62.25,-75.75,0.858
62.25,-75.25,0.890
62.25,-74.75,0.870
62.25,-74.25,0.811
62.25,-73.75,0.756
62.25,-73.25,0.713
62.25,-72.75,0.807
62.25,-72.25,0.764
62.25,-71.75,0.681
62.25,-71.25,0.787
62.25,-70.75,0.882
62.25,-70.25,0.846
62.25,-69.75,0.791
62.25,-69.25,0.760
62.25,-68.75,0.756
62.25,-68.25,0.748
62.25,-67.75,0.744
62.25,-67.25,0.740
62.25,-65.75,0.760
62.25,-65.25,0.764
62.25,-64.75,0.791
62.25,-64.25,0.783
62.25,-63.75,0.846
61.75,-79.75,0.929
61.75,-79.25,0.736
61.75,-78.75,0.748
61.75,-78.25,0.772
61.75,-77.75,0.661
61.75,-77.25,0.783
61.75,-76.75,0.724
61.75,-76.25,0.654
61.75,-75.75,0.673
61.75,-75.25,0.669
61.75,-74.75,0.768
61.75,-74.25,0.795
61.75,-73.75,0.740
61.75,-73.25,0.776
61.75,-72.75,0.717
61.75,-72.25,0.764
61.75,-71.75,0.744
61.75,-71.25,0.823
61.75,-70.75,0.815
61.75,-70.25,0.780
61.75,-69.75,0.799
61.75,-69.25,0.772
61.75,-68.75,0.843
61.75,-68.25,0.835
61.75,-67.75,0.744
61.75,-67.25,0.705
61.75,-66.75,0.646
61.75,-66.25,0.823
61.75,-65.75,0.709
61.75,-65.25,0.697
61.75,-64.75,0.752
61.75,-64.25,0.756
61.75,-63.75,0.768
61.75,-63.25,0.839
61.25,-79.75,0.917
61.25,-79.25,0.870
61.25,-78.75,0.823
61.25,-78.25,0.831
61.25,-77.75,0.780
61.25,-77.25,0.661
61.25,-76.75,0.709
61.25,-76.25,0.701
61.25,-75.75,0.768
61.25,-75.25,0.720
61.25,-74.75,0.752
61.25,-74.25,0.799
61.25,-73.75,0.799
61.25,-73.25,0.724
61.25,-72.75,0.705
61.25,-72.25,0.748
61.25,-71.75,0.776
61.25,-71.25,0.787
61.25,-70.75,0.803
61.25,-70.25,0.902
61.25,-69.75,0.752
61.25,-69.25,0.807
61.25,-68.75,0.831
61.25,-68.25,0.843
61.25,-67.75,0.752
61.25,-67.25,0.882
61.25,-66.75,0.850
61.25,-66.25,0.807
61.25,-65.75,0.705
61.25,-65.25,0.827
61.25,-64.75,0.874
61.25,-64.25,0.803
61.25,-63.75,0.732
61.25,-63.25,0.791
61.25,-62.75,0.744
60.75,-79.75,0.835
60.75,-79.25,0.843
60.75,-78.75,0.811
60.75,-78.25,0.831
60.75,-77.75,0.787
60.75,-77.25,0.709
60.75,-76.75,0.697
60.75,-76.25,0.657
60.75,-75.75,0.673
60.75,-75.25,0.760
60.75,-74.75,0.740
60.75,-74.25,0.760
60.75,-73.75,0.744
60.75,-73.25,0.713
60.75,-72.75,0.677
60.75,-72.25,0.661
