latitude,longitude,cloud_cover
64.25,-78.75,0.512
64.25,-78.25,0.638
64.25,-77.75,0.772
64.25,-77.25,0.697
64.25,-76.75,0.839
64.25,-76.25,0.831
64.25,-75.75,0.874
64.25,-75.25,0.823
64.25,-74.75,0.776
64.25,-74.25,0.894
64.25,-73.75,0.878
64.25,-73.25,0.882
64.25,-72.75,0.839
63.75,-79.25,0.654
63.75,-78.75,0.693
63.75,-78.25,0.528
63.75,-77.75,0.630
63.75,-77.25,0.787
63.75,-76.75,0.783
63.75,-76.25,0.854
63.75,-75.75,0.917
63.75,-75.25,0.906
63.75,-74.75,0.882
63.75,-74.25,0.862
63.75,-73.75,0.815
63.75,-73.25,0.846
63.75,-72.75,0.791
63.75,-72.25,0.854
63.75,-71.75,0.878
63.25,-79.75,0.661
63.25,-79.25,0.480
63.25,-78.75,0.591
63.25,-78.25,0.697
63.25,-77.75,0.689
63.25,-77.25,0.591
63.25,-76.75,0.843
63.25,-76.25,0.850
63.25,-75.75,0.839
63.25,-75.25,0.843
63.25,-74.75,0.874
63.25,-74.25,0.898
63.25,-73.75,0.874
63.25,-73.25,0.874
63.25,-72.75,0.780
63.25,-72.25,0.846
63.25,-71.75,0.803
63.25,-71.25,0.811
63.25,-70.75,0.831
62.75,-79.75,0.370
62.75,-79.25,0.374
62.75,-78.75,0.512
62.75,-78.25,0.661
62.75,-77.75,0.669
62.75,-77.25,0.713
62.75,-76.75,0.819
62.75,-76.25,0.886
62.75,-75.75,0.823
62.75,-75.25,0.736
62.75,-74.75,0.819
62.75,-74.25,0.787
62.75,-73.75,0.748
62.75,-73.25,0.713
62.75,-72.75,0.701
62.75,-72.25,0.720
62.75,-71.75,0.752
62.75,-71.25,0.811
62.75,-70.75,0.811
62.75,-70.25,0.870
62.75,-69.75,0.874
62.75,-69.25,0.961
62.75,-68.75,0.945
62.25,-79.75,0.303
62.25,-79.25,0.295
62.25,-78.75,0.437
62.25,-78.25,0.661
62.25,-77.75,0.669
62.25,-77.25,0.685
62.25,-76.75,0.720
62.25,-76.25,0.685
62.25,-75.75,0.567
62.25,-75.25,0.622
62.25,-74.75,0.673
62.25,-74.25,0.681
62.25,-73.75,0.803
62.25,-73.25,0.787
62.25,-72.75,0.736
62.25,-72.25,0.673
62.25,-71.75,0.724
62.25,-71.25,0.689
62.25,-70.75,0.740
62.25,-70.25,0.811
62.25,-69.75,0.925
62.25,-69.25,0.965
62.25,-68.75,0.984
62.25,-68.25,0.917
62.25,-67.75,0.925
62.25,-67.25,0.929
62.25,-65.75,0.831
62.25,-65.25,0.772
62.25,-64.75,0.850
62.25,-64.25,0.831
62.25,-63.75,0.890
61.75,-79.75,0.378
61.75,-79.25,0.220
61.75,-78.75,0.366
61.75,-78.25,0.528
61.75,-77.75,0.488
61.75,-77.25,0.697
61.75,-76.75,0.752
61.75,-76.25,0.728
61.75,-75.75,0.713
61.75,-75.25,0.780
61.75,-74.75,0.689
61.75,-74.25,0.748
61.75,-73.75,0.882
61.75,-73.25,0.913
61.75,-72.75,0.882
61.75,-72.25,0.894
61.75,-71.75,0.728
61.75,-71.25,0.717
61.75,-70.75,0.720
61.75,-70.25,0.650
61.75,-69.75,0.795
61.75,-69.25,0.870
61.75,-68.75,0.902
61.75,-68.25,0.854
61.75,-67.75,0.866
61.75,-67.25,0.843
61.75,-66.75,0.917
61.75,-66.25,0.890
61.75,-65.75,0.870
61.75,-65.25,0.906
61.75,-64.75,0.921
61.75,-64.25,0.799
61.75,-63.75,0.827
61.75,-63.25,0.776
61.25,-79.75,0.232
61.25,-79.25,0.252
61.25,-78.75,0.291
61.25,-78.25,0.350
