latitude,longitude,cloud_cover
64.25,-78.75,0.583
64.25,-78.25,0.591
64.25,-77.75,0.874
64.25,-77.25,0.701
64.25,-76.75,0.567
64.25,-76.25,0.630
64.25,-75.75,0.720
64.25,-75.25,0.579
64.25,-74.75,0.697
64.25,-74.25,0.673
64.25,-73.75,0.610
64.25,-73.25,0.575
64.25,-72.75,0.669
63.75,-79.25,0.567
63.75,-78.75,0.520
63.75,-78.25,0.728
63.75,-77.75,0.791
63.75,-77.25,0.764
63.75,-76.75,0.764
63.75,-76.25,0.724
63.75,-75.75,0.835
63.75,-75.25,0.917
63.75,-74.75,0.906
63.75,-74.25,0.886
63.75,-73.75,0.803
63.75,-73.25,0.634
63.75,-72.75,0.622
63.75,-72.25,0.717
63.75,-71.75,0.661
63.25,-79.75,0.594
63.25,-79.25,0.634
63.25,-78.75,0.669
63.25,-78.25,0.811
63.25,-77.75,0.803
63.25,-77.25,0.638
63.25,-76.75,0.835
63.25,-76.25,0.811
63.25,-75.75,0.815
63.25,-75.25,0.685
63.25,-74.75,0.724
63.25,-74.25,0.823
63.25,-73.75,0.906
63.25,-73.25,0.909
63.25,-72.75,0.846
63.25,-72.25,0.831
63.25,-71.75,0.858
63.25,-71.25,0.681
63.25,-70.75,0.732
62.75,-79.75,0.516
62.75,-79.25,0.516
62.75,-78.75,0.531
62.75,-78.25,0.673
62.75,-77.75,0.709
62.75,-77.25,0.697
62.75,-76.75,0.701
62.75,-76.25,0.701
62.75,-75.75,0.728
62.75,-75.25,0.768
62.75,-74.75,0.728
62.75,-74.25,0.724
62.75,-73.75,0.783
62.75,-73.25,0.823
62.75,-72.75,0.752
62.75,-72.25,0.807
62.75,-71.75,0.839
62.75,-71.25,0.878
62.75,-70.75,0.839
62.75,-70.25,0.756
62.75,-69.75,0.677
62.75,-69.25,0.689
62.75,-68.75,0.787
62.25,-79.75,0.650
62.25,-79.25,0.598
62.25,-78.75,0.543
62.25,-78.25,0.772
62.25,-77.75,0.894
62.25,-77.25,0.866
62.25,-76.75,0.858
62.25,-76.25,0.846
62.25,-75.75,0.720
62.25,-75.25,0.650
62.25,-74.75,0.681
62.25,-74.25,0.748
62.25,-73.75,0.795
62.25,-73.25,0.720
62.25,-72.75,0.744
62.25,-72.25,0.768
62.25,-71.75,0.795
62.25,-71.25,0.748
62.25,-70.75,0.866
62.25,-70.25,0.811
62.25,-69.75,0.921
62.25,-69.25,0.882
62.25,-68.75,0.748
62.25,-68.25,0.583
62.25,-67.75,0.567
62.25,-67.25,0.504
62.25,-65.75,0.720
62.25,-65.25,0.823
62.25,-64.75,0.783
62.25,-64.25,0.559
62.25,-63.75,0.370
61.75,-79.75,0.654
61.75,-79.25,0.571
61.75,-78.75,0.638
61.75,-78.25,0.724
61.75,-77.75,0.807
61.75,-77.25,0.772
61.75,-76.75,0.799
61.75,-76.25,0.823
61.75,-75.75,0.890
61.75,-75.25,0.843
61.75,-74.75,0.815
61.75,-74.25,0.906
61.75,-73.75,0.815
61.75,-73.25,0.886
61.75,-72.75,0.815
61.75,-72.25,0.799
61.75,-71.75,0.650
61.75,-71.25,0.677
61.75,-70.75,0.693
61.75,-70.25,0.913
61.75,-69.75,0.949
61.75,-69.25,0.937
61.75,-68.75,0.961
61.75,-68.25,0.945
61.75,-67.75,0.945
61.75,-67.25,0.913
61.75,-66.75,0.878
61.75,-66.25,0.685
61.75,-65.75,0.669
61.75,-65.25,0.622
61.75,-64.75,0.559
61.75,-64.25,0.421
61.75,-63.75,0.472
61.75,-63.25,0.528
61.25,-79.75,0.476
61.25,-79.25,0.465
61.25,-78.75,0.551
61.25,-78.25,0.646
61.25,-77.75,0.740
61.25,-77.25,0.772
61.25,-76.75,0.831
61.25,-76.25,0.870
61.25,-75.75,0.776
61.25,-75.25,0.732
61.25,-74.75,0.724
61.25,-74.25,0.720
61.25,-73.75,0.673
61.25,-73.25,0.661
61.25,-72.75,0.638
61.25,-72.25,0.807
61.25,-71.75,0.776
61.25,-71.25,0.650
61.25,-70.75,0.583
61.25,-70.25,0.606
61.25,-69.75,0.516
61.25,-69.25,0.539
61.25,-68.75,0.756
61.25,-68.25,0.882
61.25,-67.75,0.878
61.25,-67.25,0.929
61.25,-66.75,0.858
61.25,-66.25,0.894
61.25,-65.75,0.846
61.25,-65.25,0.902
61.25,-64.75,0.854
61.25,-64.25,0.748
61.25,-63.75,0.902
61.25,-63.25,0.815
61.25,-62.75,0.815
60.75,-79.75,0.425
60.75,-79.25,0.488
60.75,-78.75,0.480
60.75,-78.25,0.724
60.75,-77.75,0.819
60.75,-77.25,0.764
60.75,-76.75,0.819
60.75,-76.25,0.752
60.75,-75.75,0.795
60.75,-75.25,0.815
60.75,-74.75,0.744
60.75,-74.25,0.669
60.75,-73.75,0.665
60.75,-73.25,0.563
60.75,-72.75,0.555
60.75,-72.25,0.598
60.75,-71.75,0.642
60.75,-71.25,0.776
60.75,-70.75,0.697
60.75,-70.25,0.701
60.75,-69.75,0.606
60.75,-69.25,0.504
60.75,-68.75,0.591
60.75,-68.25,0.579
60.75,-67.75,0.673
60.75,-67.25,0.835
60.75,-66.75,0.925
60.75,-66.25,0.827
60.75,-65.75,0.846
60.75,-65.25,0.882
60.75,-64.75,0.776
60.75,-64.25,0.717
60.75,-63.75,0.862
60.75,-63.25,0.862
60.75,-62.75,0.913
60.75,-62.25,0.886
60.25,-79.75,0.496
60.25,-79.25,0.469
60.25,-78.75,0.425
60.25,-78.25,0.539
60.25,-77.75,0.724
60.25,-77.25,0.768
60.25,-76.75,0.874
60.25,-76.25,0.878
60.25,-75.75,0.831
60.25,-75.25,0.752
60.25,-74.75,0.693
60.25,-74.25,0.520
60.25,-73.75,0.469
60.25,-73.25,0.504
60.25,-72.75,0.614
60.25,-72.25,0.598
60.25,-71.75,0.559
60.25,-71.25,0.535
60.25,-70.75,0.591
60.25,-70.25,0.559
60.25,-69.75,0.575
60.25,-69.25,0.591
60.25,-68.75,0.484
60.25,-68.25,0.701
60.25,-67.75,0.720
60.25,-67.25,0.748
60.25,-66.75,0.850
60.25,-66.25,0.886
60.25,-65.75,0.854
60.25,-65.25,0.772
60.25,-64.75,0.835
60.25,-64.25,0.913
60.25,-63.75,0.913
