latitude,longitude,cloud_cover
64.25,-78.75,0.528
64.25,-78.25,0.850
64.25,-77.75,0.654
64.25,-77.25,0.563
64.25,-76.75,0.480
64.25,-76.25,0.480
64.25,-75.75,0.547
64.25,-75.25,0.472
64.25,-74.75,0.642
64.25,-74.25,0.705
64.25,-73.75,0.528
64.25,-73.25,0.543
64.25,-72.75,0.539
63.75,-79.25,0.382
63.75,-78.75,0.398
63.75,-78.25,0.602
63.75,-77.75,0.717
63.75,-77.25,0.701
63.75,-76.75,0.768
63.75,-76.25,0.902
63.75,-75.75,0.933
63.75,-75.25,0.827
63.75,-74.75,0.909
63.75,-74.25,0.933
63.75,-73.75,0.819
63.75,-73.25,0.732
63.75,-72.75,0.504
63.75,-72.25,0.524
63.75,-71.75,0.484
63.25,-79.75,0.516
63.25,-79.25,0.433
63.25,-78.75,0.394
63.25,-78.25,0.677
63.25,-77.75,0.650
63.25,-77.25,0.579
63.25,-76.75,0.630
63.25,-76.25,0.646
63.25,-75.75,0.748
63.25,-75.25,0.713
63.25,-74.75,0.661
63.25,-74.25,0.669
63.25,-73.75,0.736
63.25,-73.25,0.677
63.25,-72.75,0.512
63.25,-72.25,0.579
63.25,-71.75,0.496
63.25,-71.25,0.531
63.25,-70.75,0.457
62.75,-79.75,0.413
62.75,-79.25,0.492
62.75,-78.75,0.465
62.75,-78.25,0.469
62.75,-77.75,0.543
62.75,-77.25,0.575
62.75,-76.75,0.650
62.75,-76.25,0.606
62.75,-75.75,0.563
62.75,-75.25,0.559
62.75,-74.75,0.512
62.75,-74.25,0.465
62.75,-73.75,0.465
62.75,-73.25,0.496
62.75,-72.75,0.614
62.75,-72.25,0.669
62.75,-71.75,0.673
62.75,-71.25,0.677
62.75,-70.75,0.370
62.75,-70.25,0.398
62.75,-69.75,0.354
62.75,-69.25,0.299
62.75,-68.75,0.315
62.25,-79.75,0.579
62.25,-79.25,0.457
62.25,-78.75,0.346
62.25,-78.25,0.402
62.25,-77.75,0.677
62.25,-77.25,0.535
62.25,-76.75,0.555
62.25,-76.25,0.713
62.25,-75.75,0.602
62.25,-75.25,0.591
62.25,-74.75,0.528
62.25,-74.25,0.610
62.25,-73.75,0.843
62.25,-73.25,0.606
62.25,-72.75,0.591
62.25,-72.25,0.480
62.25,-71.75,0.555
62.25,-71.25,0.724
62.25,-70.75,0.752
62.25,-70.25,0.772
62.25,-69.75,0.740
62.25,-69.25,0.772
62.25,-68.75,0.433
62.25,-68.25,0.398
62.25,-67.75,0.535
62.25,-67.25,0.618
62.25,-65.75,0.799
62.25,-65.25,0.756
62.25,-64.75,0.780
62.25,-64.25,0.709
62.25,-63.75,0.728
61.75,-79.75,0.524
61.75,-79.25,0.327
61.75,-78.75,0.323
61.75,-78.25,0.488
61.75,-77.75,0.307
61.75,-77.25,0.488
61.75,-76.75,0.508
61.75,-76.25,0.618
61.75,-75.75,0.575
61.75,-75.25,0.551
61.75,-74.75,0.579
61.75,-74.25,0.618
61.75,-73.75,0.539
61.75,-73.25,0.567
61.75,-72.75,0.567
61.75,-72.25,0.622
61.75,-71.75,0.563
61.75,-71.25,0.531
61.75,-70.75,0.563
61.75,-70.25,0.587
61.75,-69.75,0.646
61.75,-69.25,0.756
61.75,-68.75,0.748
61.75,-68.25,0.622
61.75,-67.75,0.543
61.75,-67.25,0.449
61.75,-66.75,0.492
61.75,-66.25,0.587
61.75,-65.75,0.760
61.75,-65.25,0.661
61.75,-64.75,0.677
61.75,-64.25,0.539
61.75,-63.75,0.547
61.75,-63.25,0.606
61.25,-79.75,0.457
61.25,-79.25,0.378
61.25,-78.75,0.390
61.25,-78.25,0.272
61.25,-77.75,0.272
61.25,-77.25,0.358
61.25,-76.75,0.500
61.25,-76.25,0.433
61.25,-75.75,0.350
61.25,-75.25,0.496
61.25,-74.75,0.453
61.25,-74.25,0.398
61.25,-73.75,0.453
