latitude,longitude,cloud_cover
64.25,-78.75,0.673
64.25,-78.25,0.736
64.25,-77.75,0.843
64.25,-77.25,0.870
64.25,-76.75,0.780
64.25,-76.25,0.752
64.25,-75.75,0.756
64.25,-75.25,0.776
64.25,-74.75,0.744
64.25,-74.25,0.780
64.25,-73.75,0.898
64.25,-73.25,0.933
64.25,-72.75,0.969
63.75,-79.25,0.709
63.75,-78.75,0.685
63.75,-78.25,0.772
63.75,-77.75,0.772
63.75,-77.25,0.921
63.75,-76.75,0.791
63.75,-76.25,0.752
63.75,-75.75,0.689
63.75,-75.25,0.728
63.75,-74.75,0.764
63.75,-74.25,0.728
63.75,-73.75,0.776
63.75,-73.25,0.913
63.75,-72.75,0.921
63.75,-72.25,0.913
63.75,-71.75,0.839
63.25,-79.75,0.862
63.25,-79.25,0.803
63.25,-78.75,0.870
63.25,-78.25,0.882
63.25,-77.75,0.862
63.25,-77.25,0.764
63.25,-76.75,0.917
63.25,-76.25,0.929
63.25,-75.75,0.886
63.25,-75.25,0.886
63.25,-74.75,0.850
63.25,-74.25,0.913
63.25,-73.75,0.882
63.25,-73.25,0.945
63.25,-72.75,0.961
63.25,-72.25,0.957
63.25,-71.75,0.933
63.25,-71.25,0.831
63.25,-70.75,0.882
62.75,-79.75,0.673
62.75,-79.25,0.764
62.75,-78.75,0.827
62.75,-78.25,0.843
62.75,-77.75,0.843
62.75,-77.25,0.720
62.75,-76.75,0.843
62.75,-76.25,0.843
62.75,-75.75,0.921
62.75,-75.25,0.791
62.75,-74.75,0.886
62.75,-74.25,0.941
62.75,-73.75,0.929
62.75,-73.25,0.906
62.75,-72.75,0.933
62.75,-72.25,0.878
62.75,-71.75,0.894
62.75,-71.25,0.957
62.75,-70.75,0.949
62.75,-70.25,0.972
62.75,-69.75,0.870
62.75,-69.25,0.744
62.75,-68.75,0.717
62.25,-79.75,0.937
62.25,-79.25,0.902
62.25,-78.75,0.917
62.25,-78.25,0.909
62.25,-77.75,0.929
62.25,-77.25,0.925
62.25,-76.75,0.862
62.25,-76.25,0.839
62.25,-75.75,0.882
62.25,-75.25,0.886
62.25,-74.75,0.819
62.25,-74.25,0.874
62.25,-73.75,0.807
62.25,-73.25,0.705
62.25,-72.75,0.835
62.25,-72.25,0.831
62.25,-71.75,0.925
62.25,-71.25,0.870
62.25,-70.75,0.874
62.25,-70.25,0.886
62.25,-69.75,0.811
62.25,-69.25,0.693
62.25,-68.75,0.748
62.25,-68.25,0.669
62.25,-67.75,0.689
62.25,-67.25,0.697
62.25,-65.75,0.594
62.25,-65.25,0.539
62.25,-64.75,0.614
62.25,-64.25,0.724
62.25,-63.75,0.748
61.75,-79.75,0.815
61.75,-79.25,0.850
61.75,-78.75,0.850
61.75,-78.25,0.961
61.75,-77.75,0.937
61.75,-77.25,0.886
61.75,-76.75,0.866
61.75,-76.25,0.858
61.75,-75.75,0.835
61.75,-75.25,0.886
61.75,-74.75,0.902
61.75,-74.25,0.866
61.75,-73.75,0.752
61.75,-73.25,0.709
61.75,-72.75,0.783
61.75,-72.25,0.803
61.75,-71.75,0.764
61.75,-71.25,0.815
61.75,-70.75,0.957
61.75,-70.25,0.827
61.75,-69.75,0.862
61.75,-69.25,0.807
61.75,-68.75,0.736
61.75,-68.25,0.724
61.75,-67.75,0.724
61.75,-67.25,0.677
61.75,-66.75,0.622
61.75,-66.25,0.799
61.75,-65.75,0.843
61.75,-65.25,0.823
61.75,-64.75,0.732
61.75,-64.25,0.720
61.75,-63.75,0.862
61.75,-63.25,0.748
61.25,-79.75,0.913
61.25,-79.25,0.906
61.25,-78.75,0.874
61.25,-78.25,0.953
61.25,-77.75,0.866
61.25,-77.25,0.866
61.25,-76.75,0.843
61.25,-76.25,0.835
61.25,-75.75,0.764
61.25,-75.25,0.831
61.25,-74.75,0.906
61.25,-74.25,0.917
61.25,-73.75,0.740
61.25,-73.25,0.831
61.25,-72.75,0.673
61.25,-72.25,0.803
61.25,-71.75,0.839
61.25,-71.25,0.929
61.25,-70.75,0.846
61.25,-70.25,0.843
61.25,-69.75,0.732
61.25,-69.25,0.760
61.25,-68.75,0.720
61.25,-68.25,0.791
61.25,-67.75,0.854
61.25,-67.25,0.744
61.25,-66.75,0.646
61.25,-66.25,0.736
61.25,-65.75,0.744
61.25,-65.25,0.705
61.25,-64.75,0.815
61.25,-64.25,0.870
61.25,-63.75,0.870
61.25,-63.25,0.768
61.25,-62.75,0.823
60.75,-79.75,0.827
60.75,-79.25,0.827
60.75,-78.75,0.854
60.75,-78.25,0.870
60.75,-77.75,0.945
60.75,-77.25,0.894
60.75,-76.75,0.937
60.75,-76.25,0.921
60.75,-75.75,0.795
60.75,-75.25,0.843
60.75,-74.75,0.890
60.75,-74.25,0.846
60.75,-73.75,0.835
60.75,-73.25,0.799
60.75,-72.75,0.654
60.75,-72.25,0.803
60.75,-71.75,0.646
60.75,-71.25,0.713
