latitude,longitude,cloud_cover
64.25,-78.75,0.949
64.25,-78.25,0.957
64.25,-77.75,0.933
64.25,-77.25,0.976
64.25,-76.75,0.870
64.25,-76.25,0.783
64.25,-75.75,0.744
64.25,-75.25,0.740
64.25,-74.75,0.835
64.25,-74.25,0.724
64.25,-73.75,0.850
64.25,-73.25,0.850
64.25,-72.75,0.768
63.75,-79.25,0.850
63.75,-78.75,0.858
63.75,-78.25,0.850
63.75,-77.75,0.941
63.75,-77.25,0.917
63.75,-76.75,0.913
63.75,-76.25,0.850
63.75,-75.75,0.858
63.75,-75.25,0.894
63.75,-74.75,0.748
63.75,-74.25,0.764
63.75,-73.75,0.720
63.75,-73.25,0.756
63.75,-72.75,0.831
63.75,-72.25,0.870
63.75,-71.75,0.815
63.25,-79.75,0.839
63.25,-79.25,0.886
63.25,-78.75,0.886
63.25,-78.25,0.862
63.25,-77.75,0.925
63.25,-77.25,0.945
63.25,-76.75,0.965
63.25,-76.25,0.890
63.25,-75.75,0.906
63.25,-75.25,0.890
63.25,-74.75,0.823
63.25,-74.25,0.850
63.25,-73.75,0.823
63.25,-73.25,0.756
63.25,-72.75,0.823
63.25,-72.25,0.776
63.25,-71.75,0.898
63.25,-71.25,0.835
63.25,-70.75,0.748
62.75,-79.75,0.890
62.75,-79.25,0.953
62.75,-78.75,0.913
62.75,-78.25,0.803
62.75,-77.75,0.846
62.75,-77.25,0.843
62.75,-76.75,0.937
62.75,-76.25,0.961
62.75,-75.75,0.929
62.75,-75.25,0.925
62.75,-74.75,0.925
62.75,-74.25,0.878
62.75,-73.75,0.862
62.75,-73.25,0.807
62.75,-72.75,0.791
62.75,-72.25,0.677
62.75,-71.75,0.764
62.75,-71.25,0.776
62.75,-70.75,0.823
62.75,-70.25,0.843
62.75,-69.75,0.870
62.75,-69.25,0.811
62.75,-68.75,0.752
62.25,-79.75,0.890
62.25,-79.25,0.870
62.25,-78.75,0.941
62.25,-78.25,0.921
62.25,-77.75,0.898
62.25,-77.25,0.921
62.25,-76.75,0.906
62.25,-76.25,0.831
62.25,-75.75,0.882
62.25,-75.25,0.854
62.25,-74.75,0.795
62.25,-74.25,0.783
62.25,-73.75,0.831
62.25,-73.25,0.874
62.25,-72.75,0.929
62.25,-72.25,0.894
62.25,-71.75,0.752
62.25,-71.25,0.579
62.25,-70.75,0.665
62.25,-70.25,0.760
62.25,-69.75,0.799
62.25,-69.25,0.787
62.25,-68.75,0.626
62.25,-68.25,0.681
62.25,-67.75,0.717
62.25,-67.25,0.697
62.25,-65.75,0.724
62.25,-65.25,0.850
62.25,-64.75,0.913
62.25,-64.25,0.886
62.25,-63.75,0.874
61.75,-79.75,0.957
61.75,-79.25,0.886
61.75,-78.75,0.976
61.75,-78.25,0.787
61.75,-77.75,0.803
61.75,-77.25,0.906
61.75,-76.75,0.894
61.75,-76.25,0.846
61.75,-75.75,0.835
61.75,-75.25,0.772
61.75,-74.75,0.736
61.75,-74.25,0.783
61.75,-73.75,0.760
61.75,-73.25,0.709
61.75,-72.75,0.772
61.75,-72.25,0.689
61.75,-71.75,0.764
61.75,-71.25,0.748
61.75,-70.75,0.732
61.75,-70.25,0.697
61.75,-69.75,0.606
61.75,-69.25,0.626
61.75,-68.75,0.713
61.75,-68.25,0.740
61.75,-67.75,0.748
61.75,-67.25,0.831
61.75,-66.75,0.839
61.75,-66.25,0.909
61.75,-65.75,0.906
61.75,-65.25,0.870
61.75,-64.75,0.819
61.75,-64.25,0.803
61.75,-63.75,0.823
61.75,-63.25,0.850
61.25,-79.75,0.937
61.25,-79.25,0.937
61.25,-78.75,0.846
61.25,-78.25,0.862
61.25,-77.75,0.866
61.25,-77.25,0.791
61.25,-76.75,0.858
61.25,-76.25,0.898
61.25,-75.75,0.870
61.25,-75.25,0.823
61.25,-74.75,0.795
61.25,-74.25,0.764
61.25,-73.75,0.787
61.25,-73.25,0.669
61.25,-72.75,0.528
61.25,-72.25,0.638
61.25,-71.75,0.575
61.25,-71.25,0.591
61.25,-70.75,0.760
61.25,-70.25,0.705
61.25,-69.75,0.677
61.25,-69.25,0.768
61.25,-68.75,0.661
61.25,-68.25,0.748
61.25,-67.75,0.835
61.25,-67.25,0.815
61.25,-66.75,0.783
61.25,-66.25,0.890
61.25,-65.75,0.937
61.25,-65.25,0.972
61.25,-64.75,0.913
61.25,-64.25,0.882
61.25,-63.75,0.933
61.25,-63.25,0.866
61.25,-62.75,0.866
60.75,-79.75,0.965
60.75,-79.25,0.945
60.75,-78.75,0.933
60.75,-78.25,0.874
60.75,-77.75,0.917
60.75,-77.25,0.917
60.75,-76.75,0.945
60.75,-76.25,0.972
60.75,-75.75,0.933
60.75,-75.25,0.961
60.75,-74.75,0.898
60.75,-74.25,0.925
