latitude,longitude,cloud_cover
64.25,-78.75,0.858
64.25,-78.25,0.921
64.25,-77.75,0.846
64.25,-77.25,0.744
64.25,-76.75,0.508
64.25,-76.25,0.563
64.25,-75.75,0.587
64.25,-75.25,0.587
64.25,-74.75,0.661
64.25,-74.25,0.602
64.25,-73.75,0.516
64.25,-73.25,0.484
64.25,-72.75,0.437
63.75,-79.25,0.921
63.75,-78.75,0.854
63.75,-78.25,0.764
63.75,-77.75,0.862
63.75,-77.25,0.874
63.75,-76.75,0.965
63.75,-76.25,0.980
63.75,-75.75,0.949
63.75,-75.25,0.850
63.75,-74.75,0.866
63.75,-74.25,0.787
63.75,-73.75,0.882
63.75,-73.25,0.669
63.75,-72.75,0.488
63.75,-72.25,0.461
63.75,-71.75,0.425
63.25,-79.75,0.878
63.25,-79.25,0.799
63.25,-78.75,0.823
63.25,-78.25,0.787
63.25,-77.75,0.913
63.25,-77.25,0.913
63.25,-76.75,0.909
63.25,-76.25,0.976
63.25,-75.75,0.988
63.25,-75.25,0.913
63.25,-74.75,0.874
63.25,-74.25,0.780
63.25,-73.75,0.776
63.25,-73.25,0.720
63.25,-72.75,0.724
63.25,-72.25,0.673
63.25,-71.75,0.520
63.25,-71.25,0.417
63.25,-70.75,0.319
62.75,-79.75,0.795
62.75,-79.25,0.850
62.75,-78.75,0.827
62.75,-78.25,0.823
62.75,-77.75,0.768
62.75,-77.25,0.902
62.75,-76.75,0.882
62.75,-76.25,0.827
62.75,-75.75,0.913
62.75,-75.25,0.831
62.75,-74.75,0.898
62.75,-74.25,0.823
62.75,-73.75,0.843
62.75,-73.25,0.807
62.75,-72.75,0.807
62.75,-72.25,0.764
62.75,-71.75,0.646
62.75,-71.25,0.579
62.75,-70.75,0.433
62.75,-70.25,0.402
62.75,-69.75,0.390
62.75,-69.25,0.402
62.75,-68.75,0.484
62.25,-79.75,0.933
62.25,-79.25,0.870
62.25,-78.75,0.917
62.25,-78.25,0.886
62.25,-77.75,0.807
62.25,-77.25,0.732
62.25,-76.75,0.717
62.25,-76.25,0.705
62.25,-75.75,0.736
62.25,-75.25,0.768
62.25,-74.75,0.701
62.25,-74.25,0.768
62.25,-73.75,0.740
62.25,-73.25,0.697
62.25,-72.75,0.732
62.25,-72.25,0.752
62.25,-71.75,0.732
62.25,-71.25,0.638
62.25,-70.75,0.732
62.25,-70.25,0.484
62.25,-69.75,0.417
62.25,-69.25,0.402
62.25,-68.75,0.457
62.25,-68.25,0.512
62.25,-67.75,0.567
62.25,-67.25,0.594
62.25,-65.75,0.421
62.25,-65.25,0.508
62.25,-64.75,0.575
62.25,-64.25,0.449
62.25,-63.75,0.390
61.75,-79.75,0.811
61.75,-79.25,0.874
61.75,-78.75,0.815
61.75,-78.25,0.870
61.75,-77.75,0.783
61.75,-77.25,0.650
61.75,-76.75,0.587
61.75,-76.25,0.579
61.75,-75.75,0.591
61.75,-75.25,0.516
61.75,-74.75,0.429
61.75,-74.25,0.559
61.75,-73.75,0.547
61.75,-73.25,0.472
61.75,-72.75,0.319
61.75,-72.25,0.457
61.75,-71.75,0.799
61.75,-71.25,0.819
61.75,-70.75,0.768
61.75,-70.25,0.717
61.75,-69.75,0.587
61.75,-69.25,0.524
61.75,-68.75,0.614
61.75,-68.25,0.594
61.75,-67.75,0.579
61.75,-67.25,0.701
61.75,-66.75,0.705
61.75,-66.25,0.693
61.75,-65.75,0.642
61.75,-65.25,0.618
61.75,-64.75,0.417
61.75,-64.25,0.398
61.75,-63.75,0.421
61.75,-63.25,0.606
61.25,-79.75,0.772
61.25,-79.25,0.811
61.25,-78.75,0.795
61.25,-78.25,0.701
61.25,-77.75,0.689
61.25,-77.25,0.559
61.25,-76.75,0.524
61.25,-76.25,0.343
61.25,-75.75,0.307
61.25,-75.25,0.315
61.25,-74.75,0.307
61.25,-74.25,0.283
61.25,-73.75,0.343
61.25,-73.25,0.339
61.25,-72.75,0.437
61.25,-72.25,0.461
61.25,-71.75,0.445
61.25,-71.25,0.654
61.25,-70.75,0.807
61.25,-70.25,0.768
61.25,-69.75,0.634
61.25,-69.25,0.677
61.25,-68.75,0.524
61.25,-68.25,0.626
61.25,-67.75,0.720
61.25,-67.25,0.638
61.25,-66.75,0.681
61.25,-66.25,0.862
61.25,-65.75,0.689
61.25,-65.25,0.669
61.25,-64.75,0.524
61.25,-64.25,0.618
61.25,-63.75,0.579
61.25,-63.25,0.760
61.25,-62.75,0.764
60.75,-79.75,0.819
60.75,-79.25,0.587
60.75,-78.75,0.661
60.75,-78.25,0.823
60.75,-77.75,0.559
60.75,-77.25,0.488
60.75,-76.75,0.465
60.75,-76.25,0.390
60.75,-75.75,0.346
60.75,-75.25,0.299
60.75,-74.75,0.276
60.75,-74.25,0.287
60.75,-73.75,0.287
60.75,-73.25,0.366
60.75,-72.75,0.504
60.75,-72.25,0.449
60.75,-71.75,0.539
60.75,-71.25,0.650
60.75,-70.75,0.602
60.75,-70.25,0.469
60.75,-69.75,0.472
60.75,-69.25,0.535
60.75,-68.75,0.760
60.75,-68.25,0.606
60.75,-67.75,0.508
60.75,-67.25,0.524
60.75,-66.75,0.732
60.75,-66.25,0.744
60.75,-65.75,0.736
60.75,-65.25,0.724
60.75,-64.75,0.752
60.75,-64.25,0.720
60.75,-63.75,0.791
60.75,-63.25,0.827
60.75,-62.75,0.803
60.75,-62.25,0.783
60.25,-79.75,0.669
60.25,-79.25,0.504
60.25,-78.75,0.425
60.25,-78.25,0.386
60.25,-77.75,0.343
60.25,-77.25,0.350
60.25,-76.75,0.362
60.25,-76.25,0.374
60.25,-75.75,0.350
60.25,-75.25,0.197
60.25,-74.75,0.272
60.25,-74.25,0.307
60.25,-73.75,0.346
60.25,-73.25,0.409
60.25,-72.75,0.492
60.25,-72.25,0.614
60.25,-71.75,0.571
60.25,-71.25,0.441
60.25,-70.75,0.457
60.25,-70.25,0.496
60.25,-69.75,0.559
60.25,-69.25,0.618
60.25,-68.75,0.630
60.25,-68.25,0.740
60.25,-67.75,0.488
60.25,-67.25,0.606
60.25,-66.75,0.799
60.25,-66.25,0.882
60.25,-65.75,0.988
60.25,-65.25,1.000
60.25,-64.75,1.000
60.25,-64.25,0.528
60.25,-63.75,0.579
60.25,-63.25,0.720
60.25,-62.75,0.870
60.25,-62.25,0.870
60.25,-61.75,0.799
59.75,-80.25,0.878
59.75,-79.75,0.673
59.75,-79.25,0.445
59.75,-78.75,0.512
59.75,-78.25,0.327
59.75,-77.75,0.323
59.75,-77.25,0.350
59.75,-76.75,0.335
59.75,-76.25,0.276
59.75,-75.75,0.236
59.75,-75.25,0.256
59.75,-74.75,0.157
59.75,-74.25,0.224
59.75,-73.75,0.272
59.75,-73.25,0.476
59.75,-72.75,0.394
59.75,-72.25,0.354
59.75,-71.75,0.346
59.75,-71.25,0.370
59.75,-70.75,0.445
59.75,-70.25,0.386
59.75,-69.75,0.382
59.75,-69.25,0.358
59.75,-68.75,0.445
59.75,-68.25,0.437
59.75,-67.75,0.488
59.75,-67.25,0.488
59.75,-66.75,0.638
59.75,-66.25,0.756
59.75,-65.75,0.843
59.75,-65.25,0.972
59.75,-64.75,0.894
59.75,-64.25,0.488
59.75,-63.75,0.469
59.75,-63.25,0.449
59.75,-62.75,0.638
59.75,-62.25,0.744
59.75,-61.75,0.799
59.75,-61.25,0.854
59.25,-80.25,0.819
59.25,-79.75,0.614
59.25,-79.25,0.469
59.25,-78.75,0.480
59.25,-78.25,0.260
59.25,-77.75,0.228
59.25,-77.25,0.181
59.25,-76.75,0.354
59.25,-76.25,0.492
59.25,-75.75,0.441
59.25,-75.25,0.358
59.25,-74.75,0.248
59.25,-74.25,0.157
59.25,-73.75,0.228
59.25,-73.25,0.209
59.25,-72.75,0.232
59.25,-72.25,0.213
59.25,-71.75,0.193
59.25,-71.25,0.307
59.25,-70.75,0.323
59.25,-70.25,0.350
59.25,-69.75,0.406
59.25,-69.25,0.445
59.25,-68.75,0.492
59.25,-68.25,0.433
59.25,-67.75,0.579
59.25,-67.25,0.630
59.25,-66.75,0.669
59.25,-66.25,0.736
59.25,-65.75,0.906
59.25,-65.25,0.799
59.25,-64.75,0.555
59.25,-64.25,0.374
59.25,-63.75,0.362
59.25,-63.25,0.327
59.25,-62.75,0.370
59.25,-62.25,0.496
59.25,-61.75,0.618
59.25,-61.25,0.634
59.25,-60.75,0.693
59.25,-60.25,0.917
58.75,-89.25,0.594
58.75,-88.75,0.543
58.75,-88.25,0.516
58.75,-80.25,0.657
58.75,-79.75,0.488
58.75,-79.25,0.555
58.75,-78.75,0.429
58.75,-78.25,0.370
58.75,-77.75,0.311
58.75,-77.25,0.209
58.75,-76.75,0.335
58.75,-76.25,0.429
58.75,-75.75,0.268
58.75,-75.25,0.378
58.75,-74.75,0.299
58.75,-74.25,0.362
58.75,-73.75,0.335
58.75,-73.25,0.323
58.75,-72.75,0.224
58.75,-72.25,0.114
58.75,-71.75,0.220
58.75,-71.25,0.256
58.75,-70.75,0.244
58.75,-70.25,0.394
58.75,-69.75,0.469
58.75,-69.25,0.398
58.75,-68.75,0.472
58.75,-68.25,0.587
58.75,-67.75,0.539
58.75,-67.25,0.724
58.75,-66.75,0.622
58.75,-66.25,0.768
58.75,-65.75,0.744
58.75,-65.25,0.685
58.75,-64.75,0.492
58.75,-64.25,0.354
58.75,-63.75,0.264
58.75,-63.25,0.386
58.75,-62.75,0.358
58.75,-62.25,0.429
58.75,-61.75,0.618
58.75,-61.25,0.626
58.75,-60.75,0.575
58.75,-60.25,0.752
58.75,-59.75,0.850
58.25,-90.25,0.480
58.25,-89.75,0.567
58.25,-89.25,0.539
58.25,-88.75,0.579
58.25,-88.25,0.622
58.25,-87.75,0.587
58.25,-87.25,0.575
58.25,-80.25,0.484
58.25,-79.75,0.413
58.25,-79.25,0.343
58.25,-78.75,0.437
58.25,-78.25,0.291
58.25,-77.75,0.228
58.25,-77.25,0.244
58.25,-76.75,0.220
58.25,-76.25,0.291
58.25,-75.75,0.134
58.25,-75.25,0.157
58.25,-74.75,0.268
58.25,-74.25,0.272
58.25,-73.75,0.343
58.25,-73.25,0.185
58.25,-72.75,0.295
58.25,-72.25,0.232
58.25,-71.75,0.264
58.25,-71.25,0.299
58.25,-70.75,0.441
58.25,-70.25,0.386
58.25,-69.75,0.488
58.25,-69.25,0.374
58.25,-68.75,0.390
58.25,-68.25,0.421
58.25,-67.75,0.413
58.25,-67.25,0.638
58.25,-66.75,0.650
58.25,-66.25,0.598
58.25,-65.75,0.504
58.25,-65.25,0.362
58.25,-64.75,0.295
58.25,-64.25,0.283
58.25,-63.75,0.256
58.25,-63.25,0.209
58.25,-62.75,0.280
58.25,-62.25,0.311
58.25,-61.75,0.594
58.25,-61.25,0.626
58.25,-60.75,0.654
58.25,-60.25,0.717
58.25,-59.75,0.913
57.75,-91.25,0.386
57.75,-90.75,0.555
57.75,-90.25,0.476
57.75,-89.75,0.508
57.75,-89.25,0.618
57.75,-88.75,0.622
57.75,-88.25,0.535
57.75,-87.75,0.571
57.75,-87.25,0.622
57.75,-86.75,0.618
57.75,-86.25,0.524
57.75,-80.25,0.453
57.75,-79.75,0.472
57.75,-79.25,0.563
57.75,-78.75,0.500
57.75,-78.25,0.406
57.75,-77.75,0.386
57.75,-77.25,0.417
57.75,-76.75,0.161
57.75,-76.25,0.024
57.75,-75.75,0.106
57.75,-75.25,0.150
57.75,-74.75,0.094
57.75,-74.25,0.130
57.75,-73.75,0.295
57.75,-73.25,0.189
57.75,-72.75,0.177
57.75,-72.25,0.236
57.75,-71.75,0.472
57.75,-71.25,0.260
57.75,-70.75,0.370
57.75,-70.25,0.354
57.75,-69.75,0.339
57.75,-69.25,0.441
57.75,-68.75,0.354
57.75,-68.25,0.524
57.75,-67.75,0.370
57.75,-67.25,0.323
57.75,-66.75,0.252
57.75,-66.25,0.496
57.75,-65.75,0.362
57.75,-65.25,0.272
57.75,-64.75,0.319
57.75,-64.25,0.260
57.75,-63.75,0.232
57.75,-63.25,0.201
57.75,-62.75,0.205
57.75,-62.25,0.295
57.75,-61.75,0.453
57.75,-61.25,0.465
57.75,-60.75,0.709
57.75,-60.25,0.638
57.75,-59.75,0.913
57.75,-59.25,0.941
57.25,-91.75,0.622
57.25,-91.25,0.606
57.25,-90.75,0.476
57.25,-90.25,0.531
57.25,-89.75,0.657
57.25,-89.25,0.760
57.25,-88.75,0.583
57.25,-88.25,0.594
57.25,-87.75,0.622
57.25,-87.25,0.713
57.25,-86.75,0.622
57.25,-86.25,0.508
57.25,-85.75,0.610
57.25,-85.25,0.575
57.25,-84.75,0.299
57.25,-84.25,0.378
57.25,-83.75,0.358
57.25,-79.75,0.280
57.25,-79.25,0.350
57.25,-78.75,0.335
57.25,-78.25,0.378
57.25,-77.75,0.346
57.25,-77.25,0.433
57.25,-76.75,0.264
57.25,-76.25,0.185
57.25,-75.75,0.181
57.25,-75.25,0.134
57.25,-74.75,0.228
57.25,-74.25,0.193
57.25,-73.75,0.248
57.25,-73.25,0.256
57.25,-72.75,0.165
57.25,-72.25,0.224
57.25,-71.75,0.213
57.25,-71.25,0.189
57.25,-70.75,0.268
57.25,-70.25,0.327
57.25,-69.75,0.358
57.25,-69.25,0.520
57.25,-68.75,0.449
57.25,-68.25,0.492
57.25,-67.75,0.500
57.25,-67.25,0.528
57.25,-66.75,0.417
57.25,-66.25,0.276
57.25,-65.75,0.236
57.25,-65.25,0.331
57.25,-64.75,0.295
57.25,-64.25,0.209
57.25,-63.75,0.169
57.25,-63.25,0.197
57.25,-62.75,0.193
57.25,-62.25,0.236
57.25,-61.75,0.291
57.25,-61.25,0.374
57.25,-60.75,0.516
57.25,-60.25,0.587
57.25,-59.75,0.878
57.25,-59.25,0.937
56.75,-92.75,0.547
56.75,-92.25,0.496
56.75,-91.75,0.488
56.75,-91.25,0.500
56.75,-90.75,0.394
56.75,-90.25,0.354
56.75,-89.75,0.421
56.75,-89.25,0.409
56.75,-88.75,0.618
56.75,-88.25,0.606
56.75,-87.75,0.650
56.75,-87.25,0.685
56.75,-86.75,0.654
56.75,-86.25,0.488
56.75,-85.75,0.492
56.75,-85.25,0.465
56.75,-84.75,0.461
