latitude,longitude,cloud_cover
64.25,-78.75,0.433
64.25,-78.25,0.461
64.25,-77.75,0.642
64.25,-77.25,0.555
64.25,-76.75,0.496
64.25,-76.25,0.421
64.25,-75.75,0.386
64.25,-75.25,0.398
64.25,-74.75,0.433
64.25,-74.25,0.449
64.25,-73.75,0.331
64.25,-73.25,0.512
64.25,-72.75,0.496
63.75,-79.25,0.445
63.75,-78.75,0.406
63.75,-78.25,0.398
63.75,-77.75,0.504
63.75,-77.25,0.500
63.75,-76.75,0.535
63.75,-76.25,0.480
63.75,-75.75,0.500
63.75,-75.25,0.563
63.75,-74.75,0.587
63.75,-74.25,0.583
63.75,-73.75,0.657
63.75,-73.25,0.618
63.75,-72.75,0.512
63.75,-72.25,0.520
63.75,-71.75,0.606
63.25,-79.75,0.394
63.25,-79.25,0.409
63.25,-78.75,0.441
63.25,-78.25,0.555
63.25,-77.75,0.583
63.25,-77.25,0.472
63.25,-76.75,0.677
63.25,-76.25,0.752
63.25,-75.75,0.594
63.25,-75.25,0.583
63.25,-74.75,0.602
63.25,-74.25,0.744
63.25,-73.75,0.693
63.25,-73.25,0.669
63.25,-72.75,0.567
63.25,-72.25,0.697
63.25,-71.75,0.665
63.25,-71.25,0.650
63.25,-70.75,0.591
62.75,-79.75,0.421
62.75,-79.25,0.378
62.75,-78.75,0.350
62.75,-78.25,0.457
62.75,-77.75,0.520
62.75,-77.25,0.409
62.75,-76.75,0.386
62.75,-76.25,0.441
62.75,-75.75,0.496
62.75,-75.25,0.504
62.75,-74.75,0.571
62.75,-74.25,0.602
62.75,-73.75,0.677
62.75,-73.25,0.591
62.75,-72.75,0.602
62.75,-72.25,0.594
62.75,-71.75,0.602
62.75,-71.25,0.614
62.75,-70.75,0.453
62.75,-70.25,0.453
62.75,-69.75,0.508
62.75,-69.25,0.512
62.75,-68.75,0.756
62.25,-79.75,0.654
62.25,-79.25,0.567
62.25,-78.75,0.614
62.25,-78.25,0.650
62.25,-77.75,0.685
62.25,-77.25,0.701
62.25,-76.75,0.626
62.25,-76.25,0.677
62.25,-75.75,0.673
62.25,-75.25,0.591
62.25,-74.75,0.516
62.25,-74.25,0.567
62.25,-73.75,0.685
62.25,-73.25,0.598
62.25,-72.75,0.457
62.25,-72.25,0.476
62.25,-71.75,0.575
62.25,-71.25,0.587
62.25,-70.75,0.441
62.25,-70.25,0.646
62.25,-69.75,0.744
62.25,-69.25,0.870
62.25,-68.75,0.677
62.25,-68.25,0.500
62.25,-67.75,0.575
62.25,-67.25,0.606
62.25,-65.75,0.626
62.25,-65.25,0.650
62.25,-64.75,0.736
62.25,-64.25,0.854
62.25,-63.75,0.709
61.75,-79.75,0.449
61.75,-79.25,0.276
61.75,-78.75,0.366
61.75,-78.25,0.504
61.75,-77.75,0.697
61.75,-77.25,0.697
61.75,-76.75,0.579
61.75,-76.25,0.567
61.75,-75.75,0.480
61.75,-75.25,0.469
61.75,-74.75,0.575
61.75,-74.25,0.591
61.75,-73.75,0.638
61.75,-73.25,0.685
61.75,-72.75,0.591
61.75,-72.25,0.531
61.75,-71.75,0.386
61.75,-71.25,0.437
61.75,-70.75,0.370
61.75,-70.25,0.484
61.75,-69.75,0.504
61.75,-69.25,0.551
61.75,-68.75,0.677
61.75,-68.25,0.681
61.75,-67.75,0.630
61.75,-67.25,0.681
61.75,-66.75,0.654
61.75,-66.25,0.693
61.75,-65.75,0.701
61.75,-65.25,0.630
61.75,-64.75,0.673
61.75,-64.25,0.677
61.75,-63.75,0.618
61.75,-63.25,0.760
61.25,-79.75,0.496
61.25,-79.25,0.343
61.25,-78.75,0.276
61.25,-78.25,0.386
61.25,-77.75,0.543
61.25,-77.25,0.508
61.25,-76.75,0.547
61.25,-76.25,0.563
61.25,-75.75,0.630
61.25,-75.25,0.626
61.25,-74.75,0.547
61.25,-74.25,0.476
61.25,-73.75,0.626
61.25,-73.25,0.673
61.25,-72.75,0.579
61.25,-72.25,0.551
61.25,-71.75,0.602
61.25,-71.25,0.512
61.25,-70.75,0.469
61.25,-70.25,0.508
61.25,-69.75,0.559
61.25,-69.25,0.508
61.25,-68.75,0.535
61.25,-68.25,0.642
61.25,-67.75,0.618
61.25,-67.25,0.654
61.25,-66.75,0.724
61.25,-66.25,0.764
61.25,-65.75,0.740
61.25,-65.25,0.736
61.25,-64.75,0.815
61.25,-64.25,0.807
61.25,-63.75,0.744
61.25,-63.25,0.776
61.25,-62.75,0.689
60.75,-79.75,0.394
60.75,-79.25,0.335
60.75,-78.75,0.283
60.75,-78.25,0.504
60.75,-77.75,0.575
60.75,-77.25,0.583
60.75,-76.75,0.496
60.75,-76.25,0.587
60.75,-75.75,0.650
60.75,-75.25,0.665
60.75,-74.75,0.642
60.75,-74.25,0.579
60.75,-73.75,0.610
60.75,-73.25,0.480
60.75,-72.75,0.484
60.75,-72.25,0.496
60.75,-71.75,0.516
60.75,-71.25,0.614
60.75,-70.75,0.492
60.75,-70.25,0.531
60.75,-69.75,0.587
60.75,-69.25,0.650
60.75,-68.75,0.634
60.75,-68.25,0.654
60.75,-67.75,0.650
60.75,-67.25,0.646
60.75,-66.75,0.724
60.75,-66.25,0.728
60.75,-65.75,0.728
60.75,-65.25,0.626
60.75,-64.75,0.748
60.75,-64.25,0.736
60.75,-63.75,0.803
60.75,-63.25,0.858
60.75,-62.75,0.776
60.75,-62.25,0.701
60.25,-79.75,0.488
60.25,-79.25,0.362
60.25,-78.75,0.406
60.25,-78.25,0.394
60.25,-77.75,0.402
60.25,-77.25,0.437
60.25,-76.75,0.413
60.25,-76.25,0.386
60.25,-75.75,0.445
60.25,-75.25,0.614
60.25,-74.75,0.484
60.25,-74.25,0.598
60.25,-73.75,0.555
60.25,-73.25,0.437
60.25,-72.75,0.346
60.25,-72.25,0.484
60.25,-71.75,0.437
60.25,-71.25,0.598
60.25,-70.75,0.531
60.25,-70.25,0.409
60.25,-69.75,0.512
60.25,-69.25,0.657
60.25,-68.75,0.772
60.25,-68.25,0.787
60.25,-67.75,0.638
60.25,-67.25,0.846
60.25,-66.75,0.819
60.25,-66.25,0.756
60.25,-65.75,0.713
60.25,-65.25,0.681
60.25,-64.75,0.701
60.25,-64.25,0.882
60.25,-63.75,0.776
60.25,-63.25,0.795
60.25,-62.75,0.843
60.25,-62.25,0.827
60.25,-61.75,0.890
59.75,-80.25,0.402
59.75,-79.75,0.461
59.75,-79.25,0.480
59.75,-78.75,0.406
59.75,-78.25,0.362
59.75,-77.75,0.382
59.75,-77.25,0.512
59.75,-76.75,0.531
59.75,-76.25,0.469
59.75,-75.75,0.421
59.75,-75.25,0.382
59.75,-74.75,0.445
59.75,-74.25,0.606
59.75,-73.75,0.606
59.75,-73.25,0.469
59.75,-72.75,0.512
59.75,-72.25,0.398
59.75,-71.75,0.350
59.75,-71.25,0.571
59.75,-70.75,0.524
59.75,-70.25,0.402
59.75,-69.75,0.480
59.75,-69.25,0.488
59.75,-68.75,0.492
59.75,-68.25,0.437
59.75,-67.75,0.618
59.75,-67.25,0.780
59.75,-66.75,0.776
59.75,-66.25,0.685
59.75,-65.75,0.685
59.75,-65.25,0.748
59.75,-64.75,0.626
59.75,-64.25,0.752
59.75,-63.75,0.843
59.75,-63.25,0.665
59.75,-62.75,0.602
59.75,-62.25,0.705
59.75,-61.75,0.886
59.75,-61.25,0.870
59.25,-80.25,0.480
59.25,-79.75,0.433
59.25,-79.25,0.425
59.25,-78.75,0.335
59.25,-78.25,0.339
59.25,-77.75,0.500
59.25,-77.25,0.500
59.25,-76.75,0.457
59.25,-76.25,0.500
59.25,-75.75,0.445
59.25,-75.25,0.469
59.25,-74.75,0.520
59.25,-74.25,0.500
59.25,-73.75,0.575
59.25,-73.25,0.512
59.25,-72.75,0.496
59.25,-72.25,0.543
59.25,-71.75,0.500
59.25,-71.25,0.508
59.25,-70.75,0.492
59.25,-70.25,0.539
59.25,-69.75,0.531
59.25,-69.25,0.551
59.25,-68.75,0.547
59.25,-68.25,0.583
59.25,-67.75,0.571
59.25,-67.25,0.606
59.25,-66.75,0.748
59.25,-66.25,0.594
59.25,-65.75,0.685
59.25,-65.25,0.803
59.25,-64.75,0.819
59.25,-64.25,0.839
59.25,-63.75,0.709
59.25,-63.25,0.878
59.25,-62.75,0.638
59.25,-62.25,0.669
59.25,-61.75,0.709
59.25,-61.25,0.713
59.25,-60.75,0.689
59.25,-60.25,0.772
58.75,-89.25,0.618
58.75,-88.75,0.661
58.75,-88.25,0.677
58.75,-80.25,0.429
58.75,-79.75,0.382
58.75,-79.25,0.571
58.75,-78.75,0.512
58.75,-78.25,0.563
58.75,-77.75,0.543
58.75,-77.25,0.547
58.75,-76.75,0.531
58.75,-76.25,0.476
58.75,-75.75,0.484
58.75,-75.25,0.512
58.75,-74.75,0.555
58.75,-74.25,0.551
58.75,-73.75,0.504
58.75,-73.25,0.559
58.75,-72.75,0.555
58.75,-72.25,0.571
58.75,-71.75,0.642
58.75,-71.25,0.567
58.75,-70.75,0.614
58.75,-70.25,0.528
58.75,-69.75,0.583
58.75,-69.25,0.776
58.75,-68.75,0.677
58.75,-68.25,0.717
58.75,-67.75,0.724
58.75,-67.25,0.626
58.75,-66.75,0.728
58.75,-66.25,0.689
58.75,-65.75,0.760
58.75,-65.25,0.874
58.75,-64.75,0.898
58.75,-64.25,0.913
58.75,-63.75,0.831
58.75,-63.25,0.732
58.75,-62.75,0.520
58.75,-62.25,0.642
58.75,-61.75,0.669
58.75,-61.25,0.642
58.75,-60.75,0.657
58.75,-60.25,0.728
58.75,-59.75,0.791
58.25,-90.25,0.654
58.25,-89.75,0.539
58.25,-89.25,0.610
58.25,-88.75,0.650
58.25,-88.25,0.614
58.25,-87.75,0.634
58.25,-87.25,0.685
58.25,-80.25,0.469
58.25,-79.75,0.516
58.25,-79.25,0.602
58.25,-78.75,0.500
58.25,-78.25,0.516
58.25,-77.75,0.594
58.25,-77.25,0.610
58.25,-76.75,0.567
58.25,-76.25,0.602
58.25,-75.75,0.504
58.25,-75.25,0.571
58.25,-74.75,0.508
58.25,-74.25,0.591
58.25,-73.75,0.571
58.25,-73.25,0.638
58.25,-72.75,0.685
58.25,-72.25,0.673
58.25,-71.75,0.669
58.25,-71.25,0.744
58.25,-70.75,0.736
58.25,-70.25,0.579
58.25,-69.75,0.606
58.25,-69.25,0.598
58.25,-68.75,0.492
58.25,-68.25,0.618
58.25,-67.75,0.594
58.25,-67.25,0.740
58.25,-66.75,0.606
58.25,-66.25,0.748
58.25,-65.75,0.799
58.25,-65.25,0.850
58.25,-64.75,0.882
58.25,-64.25,0.874
58.25,-63.75,0.882
58.25,-63.25,0.728
58.25,-62.75,0.626
58.25,-62.25,0.421
58.25,-61.75,0.520
58.25,-61.25,0.555
58.25,-60.75,0.500
58.25,-60.25,0.579
58.25,-59.75,0.772
57.75,-91.25,0.551
57.75,-90.75,0.551
57.75,-90.25,0.630
57.75,-89.75,0.583
57.75,-89.25,0.626
57.75,-88.75,0.669
57.75,-88.25,0.713
57.75,-87.75,0.606
57.75,-87.25,0.642
57.75,-86.75,0.650
57.75,-86.25,0.594
57.75,-80.25,0.547
57.75,-79.75,0.524
57.75,-79.25,0.559
57.75,-78.75,0.480
57.75,-78.25,0.520
57.75,-77.75,0.606
57.75,-77.25,0.602
57.75,-76.75,0.630
57.75,-76.25,0.583
57.75,-75.75,0.626
57.75,-75.25,0.618
57.75,-74.75,0.559
57.75,-74.25,0.598
57.75,-73.75,0.685
57.75,-73.25,0.693
57.75,-72.75,0.685
57.75,-72.25,0.681
