latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
62.25,-75.25,0.869,0.872,0.6000000000000001,0.752,0.98,True
62.25,-74.75,0.8455,0.9430000000000001,1.0,0.496,1.0,True
62.25,-74.25,0.80125,0.931,0.8,0.343,1.0,True
62.25,-73.75,0.88275,0.9055,1.0,0.72,1.0,True
62.25,-73.25,0.62575,0.541,0.4,0.421,1.0,True
62.25,-72.75,0.749,0.8445,0.2,0.307,1.0,True
62.25,-72.25,0.70075,0.8109999999999999,1.0,0.181,1.0,True
62.25,-71.75,0.6152500000000001,0.6615,0.0,0.138,1.0,True
62.25,-71.25,0.6705,0.7464999999999999,0.6000000000000001,0.189,1.0,True
62.25,-70.75,0.737,0.7655000000000001,0.4,0.417,1.0,True
62.25,-70.25,0.67425,0.6615,0.2,0.374,1.0,True
62.25,-69.75,0.86625,0.9095,0.8,0.646,1.0,True
62.25,-69.25,0.8779999999999999,0.8939999999999999,0.8,0.74,0.984,True
62.25,-68.75,0.5992500000000001,0.7045,0.8,0.0,0.988,True
62.25,-68.25,0.509,0.518,0.0,0.0,1.0,True
62.25,-67.75,0.5305,0.5335,0.0,0.055,1.0,True
62.25,-67.25,0.562,0.624,0.0,0.0,1.0,True
62.25,-65.75,0.522,0.585,0.8,0.024,0.894,True
62.25,-65.25,0.7815,0.748,0.6000000000000001,0.634,0.996,True
62.25,-64.75,0.6227499999999999,0.5449999999999999,0.4,0.476,0.925,True
62.25,-64.25,0.48924999999999996,0.5375,0.6000000000000001,0.087,0.795,True
62.25,-63.75,0.5935,0.7025,0.6000000000000001,0.012,0.957,True
61.75,-79.75,0.755,0.815,0.2,0.39,1.0,True
61.75,-79.25,0.44475,0.372,0.0,0.035,1.0,True
61.75,-78.75,0.443,0.35050000000000003,0.0,0.071,1.0,True
61.75,-78.25,0.505,0.43500000000000005,0.0,0.15,1.0,True
61.75,-77.75,0.7165,0.754,1.0,0.358,1.0,True
61.75,-77.25,0.7777499999999999,0.825,1.0,0.461,1.0,True
61.75,-76.75,0.7519999999999999,0.758,0.4,0.504,0.988,True
61.75,-76.25,0.80325,0.7875000000000001,0.6000000000000001,0.638,1.0,True
61.75,-75.75,0.817,0.8605,0.4,0.547,1.0,True
61.75,-75.25,0.82775,0.89,1.0,0.531,1.0,True
61.75,-74.75,0.9339999999999999,0.988,1.0,0.76,1.0,True
61.75,-74.25,0.92625,0.9744999999999999,0.8,0.756,1.0,True
61.75,-73.75,0.8887499999999999,0.986,1.0,0.583,1.0,True
61.75,-73.25,0.91225,0.925,0.8,0.799,1.0,True
61.75,-72.75,0.65075,0.762,0.8,0.114,0.965,True
61.75,-72.25,0.44275,0.372,0.0,0.039,0.988,True
61.75,-71.75,0.498,0.496,0.4,0.0,1.0,True
61.75,-71.25,0.50675,0.5135000000000001,0.0,0.0,1.0,True
61.75,-70.75,0.5355,0.571,0.0,0.0,1.0,True
61.75,-70.25,0.6565000000000001,0.813,0.0,0.0,1.0,True
61.75,-69.75,0.71275,0.8979999999999999,0.8,0.055,1.0,True
61.75,-69.25,0.7274999999999999,0.9195,1.0,0.071,1.0,True
61.75,-68.75,0.73525,0.9685,1.0,0.004,1.0,True
61.75,-68.25,0.738,0.799,0.2,0.354,1.0,True
61.75,-67.75,0.8652500000000001,0.886,0.8,0.693,0.996,True
61.75,-67.25,0.67,0.669,0.4,0.409,0.933,True
61.75,-66.75,0.69975,0.7224999999999999,0.8,0.374,0.98,True
61.75,-66.25,0.52275,0.5845,0.8,0.02,0.902,True
61.75,-65.75,0.6032500000000001,0.7085,0.8,0.102,0.894,True
61.75,-65.25,0.47825,0.488,0.0,0.008,0.929,True
61.75,-64.75,0.49325,0.504,0.0,0.028,0.937,True
61.75,-64.25,0.47750000000000004,0.47050000000000003,0.0,0.0,0.969,True
61.75,-63.75,0.51475,0.5375,0.0,0.004,0.98,True
61.75,-63.25,0.498,0.5135,0.4,0.02,0.945,True
61.25,-79.75,0.57475,0.5885,0.0,0.122,1.0,True
61.25,-79.25,0.6819999999999999,0.75,1.0,0.228,1.0,True
61.25,-78.75,0.6045,0.6005,0.2,0.217,1.0,True
61.25,-78.25,0.5305,0.5395,0.0,0.043,1.0,True
61.25,-77.75,0.57175,0.6435,1.0,0.0,1.0,True
61.25,-77.25,0.825,0.9784999999999999,1.0,0.343,1.0,True
61.25,-76.75,0.8395,0.8425,0.6000000000000001,0.673,1.0,True
61.25,-76.25,0.8354999999999999,0.872,1.0,0.598,1.0,True
61.25,-75.75,0.6859999999999999,0.7165,0.2,0.311,1.0,True
61.25,-75.25,0.8009999999999999,0.86,0.4,0.484,1.0,True
61.25,-74.75,0.8985,1.0,1.0,0.594,1.0,True
61.25,-74.25,0.83575,0.9215,1.0,0.5,1.0,True
61.25,-73.75,0.874,0.949,0.8,0.598,1.0,True
61.25,-73.25,0.876,0.88,0.6000000000000001,0.744,1.0,True
61.25,-72.75,0.5529999999999999,0.565,0.0,0.098,0.984,True
61.25,-72.25,0.73825,0.7955,0.8,0.366,0.996,True
61.25,-71.75,0.5077499999999999,0.38749999999999996,0.2,0.256,1.0,True
