latitude,longitude,cloud_cover
64.25,-78.75,0.594
64.25,-78.25,0.988
64.25,-77.75,0.862
64.25,-77.25,0.606
64.25,-76.75,0.646
64.25,-76.25,0.484
64.25,-75.75,0.394
64.25,-75.25,0.217
64.25,-74.75,0.461
64.25,-74.25,0.547
64.25,-73.75,0.531
64.25,-73.25,0.795
64.25,-72.75,0.925
63.75,-79.25,0.012
63.75,-78.75,0.0
63.75,-78.25,0.354
63.75,-77.75,0.992
63.75,-77.25,1.0
63.75,-76.75,1.0
63.75,-76.25,0.921
63.75,-75.75,0.98
63.75,-75.25,1.0
63.75,-74.75,0.575
63.75,-74.25,0.634
63.75,-73.75,0.843
63.75,-73.25,0.756
63.75,-72.75,0.811
63.75,-72.25,1.0
63.75,-71.75,1.0
63.25,-79.75,0.555
63.25,-79.25,0.331
63.25,-78.75,0.248
63.25,-78.25,0.76
63.25,-77.75,0.622
63.25,-77.25,0.76
63.25,-76.75,0.732
63.25,-76.25,0.665
63.25,-75.75,0.87
63.25,-75.25,0.752
63.25,-74.75,0.996
63.25,-74.25,0.925
63.25,-73.75,0.866
63.25,-73.25,0.89
63.25,-72.75,0.843
63.25,-72.25,0.988
63.25,-71.75,0.957
63.25,-71.25,1.0
63.25,-70.75,0.984
62.75,-79.75,0.988
62.75,-79.25,0.724
62.75,-78.75,0.78
62.75,-78.25,0.685
62.75,-77.75,0.996
62.75,-77.25,0.752
62.75,-76.75,0.933
62.75,-76.25,0.74
62.75,-75.75,0.807
62.75,-75.25,0.953
62.75,-74.75,1.0
62.75,-74.25,1.0
62.75,-73.75,1.0
62.75,-73.25,1.0
62.75,-72.75,0.961
62.75,-72.25,0.929
62.75,-71.75,0.843
62.75,-71.25,0.917
62.75,-70.75,0.921
62.75,-70.25,1.0
62.75,-69.75,0.953
62.75,-69.25,0.976
62.75,-68.75,1.0
62.25,-79.75,0.618
62.25,-79.25,0.669
62.25,-78.75,0.177
62.25,-78.25,0.839
62.25,-77.75,1.0
62.25,-77.25,0.996
62.25,-76.75,0.921
62.25,-76.25,0.232
62.25,-75.75,0.362
62.25,-75.25,0.76
62.25,-74.75,0.728
62.25,-74.25,0.969
62.25,-73.75,1.0
62.25,-73.25,0.906
62.25,-72.75,0.98
62.25,-72.25,0.996
62.25,-71.75,0.988
62.25,-71.25,1.0
62.25,-70.75,1.0
62.25,-70.25,0.996
62.25,-69.75,0.992
62.25,-69.25,0.957
62.25,-68.75,0.642
62.25,-68.25,0.803
62.25,-67.75,0.543
62.25,-67.25,1.0
62.25,-65.75,0.965
62.25,-65.25,0.996
62.25,-64.75,0.598
62.25,-64.25,0.622
62.25,-63.75,0.846
61.75,-79.75,0.051
61.75,-79.25,0.087
61.75,-78.75,0.429
61.75,-78.25,0.598
61.75,-77.75,0.85
61.75,-77.25,1.0
61.75,-76.75,1.0
61.75,-76.25,0.823
61.75,-75.75,0.543
61.75,-75.25,0.441
61.75,-74.75,0.949
61.75,-74.25,0.972
61.75,-73.75,0.996
61.75,-73.25,0.894
61.75,-72.75,0.437
61.75,-72.25,0.705
61.75,-71.75,1.0
61.75,-71.25,1.0
61.75,-70.75,1.0
61.75,-70.25,1.0
61.75,-69.75,1.0
61.75,-69.25,1.0
61.75,-68.75,0.717
61.75,-68.25,0.921
61.75,-67.75,0.638
61.75,-67.25,0.571
61.75,-66.75,1.0
61.75,-66.25,1.0
61.75,-65.75,0.882
61.75,-65.25,0.98
61.75,-64.75,0.547
61.75,-64.25,0.972
61.75,-63.75,0.953
61.75,-63.25,0.969
61.25,-79.75,0.89
61.25,-79.25,1.0
61.25,-78.75,0.878
61.25,-78.25,0.693
61.25,-77.75,0.48
61.25,-77.25,0.492
61.25,-76.75,0.642
61.25,-76.25,0.567
61.25,-75.75,0.354
61.25,-75.25,0.031
61.25,-74.75,0.169
61.25,-74.25,0.583
61.25,-73.75,0.161
61.25,-73.25,0.0
61.25,-72.75,0.26
61.25,-72.25,0.327
61.25,-71.75,0.736
61.25,-71.25,0.677
61.25,-70.75,1.0
61.25,-70.25,0.992
61.25,-69.75,1.0
61.25,-69.25,1.0
61.25,-68.75,0.539
61.25,-68.25,0.913
61.25,-67.75,0.705
61.25,-67.25,0.862
61.25,-66.75,1.0
61.25,-66.25,1.0
61.25,-65.75,0.902
61.25,-65.25,0.996
61.25,-64.75,0.933
61.25,-64.25,1.0
61.25,-63.75,1.0
61.25,-63.25,1.0
61.25,-62.75,0.894
60.75,-79.75,0.362
60.75,-79.25,0.228
60.75,-78.75,0.386
60.75,-78.25,0.319
60.75,-77.75,0.626
60.75,-77.25,0.264
60.75,-76.75,0.028
60.75,-76.25,0.146
60.75,-75.75,0.028
60.75,-75.25,0.039
60.75,-74.75,0.154
60.75,-74.25,0.0
60.75,-73.75,0.0
60.75,-73.25,0.0
60.75,-72.75,0.012
60.75,-72.25,0.051
60.75,-71.75,0.252
60.75,-71.25,0.705
60.75,-70.75,0.945
60.75,-70.25,0.988
60.75,-69.75,1.0
60.75,-69.25,0.921
60.75,-68.75,0.555
60.75,-68.25,1.0
60.75,-67.75,0.634
60.75,-67.25,0.87
60.75,-66.75,0.988
60.75,-66.25,0.579
60.75,-65.75,0.594
60.75,-65.25,1.0
60.75,-64.75,1.0
60.75,-64.25,1.0
60.75,-63.75,0.874
60.75,-63.25,1.0
60.75,-62.75,0.996
60.75,-62.25,0.602
60.25,-79.75,0.004
60.25,-79.25,0.0
60.25,-78.75,0.35
60.25,-78.25,0.039
60.25,-77.75,0.35
60.25,-77.25,0.134
60.25,-76.75,0.248
60.25,-76.25,0.11
60.25,-75.75,0.177
60.25,-75.25,0.0
60.25,-74.75,0.004
60.25,-74.25,0.004
60.25,-73.75,0.0
60.25,-73.25,0.0
60.25,-72.75,0.0
60.25,-72.25,0.0
60.25,-71.75,0.0
60.25,-71.25,0.0
60.25,-70.75,0.476
60.25,-70.25,0.815
60.25,-69.75,0.87
60.25,-69.25,1.0
60.25,-68.75,1.0
60.25,-68.25,1.0
60.25,-67.75,1.0
60.25,-67.25,1.0
60.25,-66.75,1.0
60.25,-66.25,1.0
60.25,-65.75,1.0
60.25,-65.25,1.0
60.25,-64.75,1.0
60.25,-64.25,1.0
60.25,-63.75,1.0
60.25,-63.25,0.217
60.25,-62.75,0.945
60.25,-62.25,0.992
60.25,-61.75,0.988
59.75,-80.25,0.043
59.75,-79.75,0.335
59.75,-79.25,0.024
59.75,-78.75,0.236
59.75,-78.25,0.0
59.75,-77.75,0.02
59.75,-77.25,0.0
59.75,-76.75,0.189
59.75,-76.25,0.004
59.75,-75.75,0.055
59.75,-75.25,0.0
59.75,-74.75,0.0
59.75,-74.25,0.0
59.75,-73.75,0.0
59.75,-73.25,0.0
59.75,-72.75,0.0
59.75,-72.25,0.0
59.75,-71.75,0.0
59.75,-71.25,0.024
59.75,-70.75,0.476
59.75,-70.25,0.5
59.75,-69.75,0.898
59.75,-69.25,1.0
59.75,-68.75,1.0
59.75,-68.25,1.0
59.75,-67.75,1.0
59.75,-67.25,1.0
59.75,-66.75,1.0
59.75,-66.25,1.0
59.75,-65.75,1.0
59.75,-65.25,1.0
59.75,-64.75,1.0
59.75,-64.25,1.0
59.75,-63.75,1.0
59.75,-63.25,0.902
59.75,-62.75,0.961
59.75,-62.25,0.669
59.75,-61.75,0.5
59.75,-61.25,0.528
59.25,-80.25,0.232
59.25,-79.75,0.402
59.25,-79.25,0.075
59.25,-78.75,0.067
59.25,-78.25,0.039
59.25,-77.75,0.004
59.25,-77.25,0.307
59.25,-76.75,0.142
59.25,-76.25,0.0
59.25,-75.75,0.0
59.25,-75.25,0.0
59.25,-74.75,0.0
59.25,-74.25,0.0
59.25,-73.75,0.0
59.25,-73.25,0.0
59.25,-72.75,0.252
59.25,-72.25,0.051
59.25,-71.75,0.028
59.25,-71.25,0.898
59.25,-70.75,0.98
59.25,-70.25,0.976
59.25,-69.75,0.591
59.25,-69.25,0.807
59.25,-68.75,1.0
59.25,-68.25,1.0
59.25,-67.75,1.0
59.25,-67.25,1.0
59.25,-66.75,1.0
59.25,-66.25,1.0
59.25,-65.75,1.0
59.25,-65.25,1.0
59.25,-64.75,1.0
59.25,-64.25,1.0
59.25,-63.75,1.0
59.25,-63.25,0.72
59.25,-62.75,0.0
59.25,-62.25,0.0
59.25,-61.75,0.071
59.25,-61.25,0.61
59.25,-60.75,0.992
59.25,-60.25,0.756
58.75,-89.25,0.933
58.75,-88.75,1.0
58.75,-88.25,1.0
58.75,-80.25,0.118
58.75,-79.75,0.256
58.75,-79.25,0.047
58.75,-78.75,0.339
58.75,-78.25,0.732
58.75,-77.75,0.563
58.75,-77.25,0.083
58.75,-76.75,0.031
58.75,-76.25,0.083
58.75,-75.75,0.0
58.75,-75.25,0.0
58.75,-74.75,0.0
58.75,-74.25,0.0
58.75,-73.75,0.331
58.75,-73.25,0.5
58.75,-72.75,0.504
58.75,-72.25,0.217
58.75,-71.75,0.15
58.75,-71.25,0.709
58.75,-70.75,0.835
58.75,-70.25,0.976
58.75,-69.75,1.0
58.75,-69.25,1.0
58.75,-68.75,1.0
58.75,-68.25,0.996
58.75,-67.75,1.0
58.75,-67.25,1.0
58.75,-66.75,1.0
58.75,-66.25,1.0
58.75,-65.75,1.0
58.75,-65.25,1.0
58.75,-64.75,0.996
58.75,-64.25,1.0
58.75,-63.75,1.0
58.75,-63.25,0.992
58.75,-62.75,0.0
58.75,-62.25,0.197
58.75,-61.75,0.051
58.75,-61.25,0.083
58.75,-60.75,0.142
58.75,-60.25,0.709
58.75,-59.75,0.402
58.25,-90.25,0.0
58.25,-89.75,0.0
58.25,-89.25,0.0
58.25,-88.75,0.0
58.25,-88.25,0.094
58.25,-87.75,0.008
58.25,-87.25,0.276
58.25,-80.25,0.0
58.25,-79.75,0.0
58.25,-79.25,0.0
58.25,-78.75,0.004
58.25,-78.25,0.102
58.25,-77.75,0.358
58.25,-77.25,0.232
58.25,-76.75,0.055
58.25,-76.25,0.079
58.25,-75.75,0.063
58.25,-75.25,0.0
